/ http://dndtools.eu/feats/

.Feat; Description
Closed Mind; Your mind is better able to resist psionics than normal.
Cloudy Conjuration; Your conjured creations and summoned beings appear in a puff of sickening black smoke, and you vanish in a cloud of the same when you teleport.
Clutch of Earth; You briefly increase the earth's pull on the target creature.
Cobalt Charge; You can channel incarnum to deal devastating strikes when charging. When you make a charge attack while this feat is active, your weapon momentarily turns deep blue.
Cobalt Critical; You can focus your spirit into your melee weapon attacks, dealing more damage with successful critical strikes.
Cobalt Expertise; By channeling the soul energy of weapon masters past, present, and future, you become more adept at maneuvers of skill and expertise.
Cobalt Power; By channeling the soul energy of brutal warriors past, present, and future, you become more capable of overcoming your enemies through sheer strength.
Cobalt Precision; You can focus your soul energy into your ranged attacks, dealing more damage with successful critical hits.
Cobalt Rage; You can channel incarnum to enhance your rage. When you do so, your eyes turn deep blue in color.
Cobra Head; You can extend the skin of your neck into a cobra hood.
Coercive Spell; Living foes damaged by your spell become more pliable and vulnerable to your commands.
Cold Endurance; Either because of growing up in a cold environment or training your body and mind to ignore the biting effect of cold, you can exist with ease in low-temperature environments.
Cold Endurance; Either because of growing up in a frostfell or training your body and mind to ignore the biting effect of cold, you can exist with ease in low-temperature environments.
Cold Focus; Your cold spells are more potent than normal.
Cold Iron Tracery; Cold-forged iron that runs through your body allows you to overcome the supernatural defenses of certain creatures and protecting against some magical attacks.
Cold Spell Specialization; You do additional damage with cold spells.
Collector of Stories; You've heard so many tales of legendary monsters that you remember all sorts of gory details.
Collegiate Wizard; You have undergone extensive training in a formal school for wizards.
Colossal Wild Shape; You can wild shape into animals of Colossal size.
Combat Acrobat; Your acrobatics and agility in combat allow you to maneuver across the battlefield with ease. You stay on your feet and speed over difficult terrain due to your superior athleticism and acrobatic talents.
Combat Archery; You can fire a bow in melee safely.
Combat Awareness; When you maintain your combat focus, you have an uncanny ability to sense the ebb and fl ow of your opponents' vitality. As you attain greater mastery of this fighting style, you learn to sense a foe's presence even with your eyes closed.
Combat Awareness; You are so perceptive that you practically have eyes in the back of your head.
Combat Brute; You employ strength and leverage to great effect in battle.
Combat Casting; You are adept at casting spells in combat.
Combat Charm; Your charm spells are equally effective in combat and noncombat situations.
Combat Cloak Expert; You are adept at turning your cloak into a vital part of your combat repertoire. By twirling it about you, sweeping it over enemies, and using it to conceal your weapon, you can catch an opponent by surprise.
Combat Defense; The state of keen focus and mental discipline you attain in combat allows you to shift the focus of your defense from one opponent to another with careful, precise maneuvers.
Combat Expertise; You are trained at using your combat skill for defense as well as offense.
Combat Familiar; Your familiar is skilled in delivering attack spells against your foes. It flits past their defenses to discharge its spell without leaving itself vulnerable to attack.
Combat Focus; The way of the warrior requires more than simple, brute strength. Some warriors bring their minds to such keen focus during the heat of battle that they can attain superhuman levels of endurance, perception, and mental toughness. Through intense mental exercise and training, you learn to enter a state of perfect martial clarity.
Combat Insight; Your keen intellect allows you to place melee attacks where they will deal the most damage.
Combat Intuition; Your keen understanding of your opponent's moves and your instinctive feel for the flow of combat enable you to shrewdly assess your opponent's combat capabilities.
Combat Manifestation; You are adept at manifesting powers in combat.
Combat Panache; Your glowing personality and sharp performance abilities allow you to navigate the battlefield on sheer chutzpah alone. While others rely on swords and armor, you use your cutting wit and ability to manipulate others.
Combat Reflexes; You can respond quickly and repeatedly to opponents who let their defenses down.
Combat Stability; When you maintain your combat focus, you become diffi cult to dislodge. Your muscles lock into an unyielding position, granting you superior ability to resist trip attacks, bull rushes, disarms, and similar effects.
Combat Strike; Your intense, focused state allows you to see the one critical moment in a battle when you hang suspended between victory and defeat. By pouring the energy required to maintain your focus into your assault, you batter through your foe's defenses.
Combat Tactician; You excel at approaching an opponent from an unexpected direction to deliver deadly attacks. As you approach your foe, you duck and weave to confuse his defenses. Alternatively, you draw a weapon and make a quick attack that surprises your foe.
Combat Tinkering; You can disarm traps or pick locks quickly and efficiently, even under the pressure of combat.
Combat Vigor; When you maintain your combat focus, your clarity of purpose and relentless drive allow you to overcome your body's frailties. Minor wounds heal in a matter of seconds, and you quickly recover from even a grievous blow.
Cometary Collision; You are a thunderbolt of destruction on the battlefi eld. By carefully timing your charge, you rush forward and slam into an enemy just as he gathers the speed needed to charge you. You turn your opponent's momentum against him.
Commanding; The targets of your compulsion spells find them difficult to resist.
Communicator; You possess a magical understanding of the essence of language.
Companion Spellbond; You form a special magical link with your animal companion, allowing you to share spells with it over a greater distance.
Complementary Insight; You get more out of having skills that work well together.
Conceal Spellcasting; You can cast spells without others noticing.
Concussion Attack; Your attacks can damage your opponent's ability to think clearly.
Conductivity; You have crude control over electricity effects near you.
Confound the Big Folk; You excel when battling foes bigger than you are.
Consecrate Spell Like Ability; You can channel holy power into your spell-like abilities.
Consecrate Spell Trigger; You can channel holy power through a spell trigger item, such as a wand or staff.
Consecrate Spell-Like Ability; You can channel holy power into your spell-like abilities.
Consecrate Spell; You can imbue your spells with the raw energy of good, by the grace of a celestial power.
Consecrate Spell; You can imbue your spells with the raw energy of good.
Constant Guardian; By paying careful attention to nearby allies and reducing the accuracy of your attacks, you help protect your companions.
Construct Grafter; You can apply consiruci grafts to other living creatures or to yourself.
Construct Lock; Your knowledge of construct nature allows you to deal extra damage to or even immobilize such foes.
Contagious Paralysis; Your paralyzing attack is contagious.
Control Visage; Your ghost body is shaped as if you were alive and unharmed, and you can control what you ghost body appears to wear.
Controlled Immolation; If you catch on fire, the flames don't hurt you.
Controlled Respiration; You can stay out of water longer than you otherwise could.
Cool Head (CS); Your mental acuity serves you better than most.
Cool Head; You are descended from the great diplomat Ide, who was chosen to be the voice of Shinjo in all dealings with strangers.
Cooperative Spell; You can cast spells to greater effect in conjunction with the same spell cast by another individual.
Cooperative Spell; You can cast spells to greater effect in conjunction with the same spell cast by another.
Coordinated Shot; You are extraordinarily talented at making ranged attacks past your allies 
Coordinated Strike; You and your animal companion or special mount can coordinate your melee attacks to gain an advantage in combat.
Copper Dragon Lineage ; You have learned to channel the powers of your copper dragon ancestry to hinder your enemies' mobility.
Cormanthyran Moon Magic; You have mastered the ancient elven techniques of drawing power from Sehanine Moonbow's light.
Corner Perch; You can brace yourself against walls to leave your hands free.
Cornered Rat; You can go from piteous groveling to a murderous fury in the blink of an eye.
Corpse Malevolence; You can possess and animate dead bodies.
Corpsecrafter; Undead you raise or create are tougher than normal.
Corrupt Arcana; You can prepare and cast corrupt spells.
Corrupt Arcane Studies; You have dabbled in strange magic that has increased your power but adversely affected your mind.
Corrupt Spell Focus; All spells you cast that have a corrupt component (such as call forth the beast*, master's lament*, or chain of sorrow*) are more potent than normal. *New spells described later in this chapter.
Corrupt Spell-Like Ability; One of the creature's spell-like abilities is powered by evil. A dark pact provides the creature with unholy energy.
Corrupt Spell; The character can transform one of her spells into a thing of evil due to a deal she makes with an evil power.
Corrupt Spell; You can transform one of your spells into a thing of evil due to a deal you make with an evil power.
Corrupt Spell; You can transform one of your spells into an evil version of itself.
Corrupted Wild Shape; You have learned to use the necromantic energy that powers your undead form to overcome the inability of undead creatures to wild shape. You can assume the form of an undead, rotten creature with the use of your wild shape ability.
Corrupting Touch; Your touch can damage creatures.
Cosmopolitan; You've been lied to more times than you can count. This history has made you intimately familiar with the deceit, guile, and doublespeak of city folk.
Cosmopolitan; Your exposure to the thousand forking paths of the city has taught you things you ordinarily would never have uncovered. 
Cougar's Vision; You can see in the dark like a cat.
Courageous Rally; You can rally demoralized foes with your bardic music.
Courteous Magocracy; You were raised in a land where mighty wizards order affairs. Where powerful spellcasters are common, cautious courtesy is the norm and everyone has an eye for magic goods. REGION: Evermeet, Hairuaa.
Cover Your Tracks; You are good at masking your route, making it difficult for others to track you.
Craft Aboleth Glyph; An aboleth with this feat can create magic glyphs that store spells or have specialized effects of their own.
Craft Alchemical item; You are capable of creating alchemical items and substances.
Craft Cognizance Crystal; You can create psionic cognizance crystals that store power points.
Craft Construct; A creature with this feat can create golems and other magic automatons that obey its orders.
Craft Contingent Spell; You know how to attach semipermanent spells to a creature and set them to activate under certain conditions.
Craft Contingent Spell; You know how to create contingent spells, which are semipermanent spells that can be &quot;worn&quot; and activate under certain conditions.
Craft Crystal Capacitor; You can create psionic crystal capacitors that store power points (see Chapter 7: Psionic Items for rules about crystal capacitors).
Craft Crystal Weapon; You can create magic weapons from Kuni crystal, which is deadly to creatures of the Shadowlands.
Craft Dorje; You can create slender crystal wands called dorjes than can manifest powers when charges are expended (see Chapter 7: Psionic Items for rules on dorjes).
Craft Dorje; You can create slender crystal wands called dorjes than manifest powers when charges are expended.
Craft Epic Magic Arms and Armor; You can craft magic arms and armor of epic power.
Craft Epic Rod; You can craft magic rods of epic power.
Craft Epic Staff; You can craft magic staffs of epic power.
Craft Epic Wondrous Item; You can craft wondrous items of epic power.
Craft Magic Arms and Armor; You can create magic weapons, armor, and shields.
Craft Masterwork Armor; You are trained in the creation of fine armor and shields.
Craft Masterwork Ranged Weapon; You are trained in the creation of fine ranged weapons and ammunition, such as bows, crossbows, and arrows.
Craft Masterwork Weapon; You are trained in the creation of fine melee and thrown weapons, such as swords, maces, daggers, and shortspears.
Craft Psicrown; You can create psicrowns, which have multiple psionic effects.
Craft Psionic Arms and Armor; You can create psionic weapons, armor, and shields (see Chapter 7: Psionic Items for rules about psionic arms an armor).
Craft Psionic Arms and Armor; You can create psionic weapons, armor, and shields.
Craft Psionic Construct; You can create golems and other psionic automatons that obey your orders.
Craft Psionic Seal; A creature with this feat can create psionic glyphs or symbols that hold spells or psionic powers until triggered.
Craft Rod; You can create magic rods, which have varied magical effects.
Craft Rune Circle; You can create rune circles, stationary magic items that hold a variety of spells and effects.
Craft Scepter; You know the ancient Netherese secret of creating magic scepters-- devices that can contain much more powerful spells than a magic wand can.
Craft Skull Talisman; You can create skull talismans, which carry spells within themselves (for more information on skull talismans, see page 112).
Craft Staff; You can create magic staffs, each of which has multiple magical effects.
Craft Talisman; You can create magic fetishes, single-use magic items that hold spells until triggered.
Craft Universal Item; You can create miscellaneous psionic items, such as third eyes or psychoactive skins (see Chapter 7: Psionic Items for rules about universal items).
Craft Universal Item; You can create universal psionic items, such as a third eye or a psychoactive skin.
Craft Wand; You can create wands, which hold spells (see the Dungeon Master's Guide for rules on wands).
Craft Wondrous Item; You can create a wide variety of magic items, such as a crystal ball or a flying carpet.
Craven; Like most sly rogues, you are a dangerous coward. However, your sneak attacks deal more damage than normal.
Create Infusion; You store a divine spell within a specially prepared herb (see Chapter 3 for details on infusions).
Create Portal; You have learned the ancient craft of creating a portal, a permanent magic device that that instantaneously transports those who know its secrets from one locale to another. Faerun is riddled with portals.
Crescent Moon; You have mastered the style of fighting with sword and dagger. You know how to twist an opponent's weapons from its grasp with a single graceful motion while using your two weapons together.
Crossbow Sniper; You are skilled in lining up accurate, deadly shots with your crossbow. Perhaps you add custom-made sights to your weapon, or you have learned to maximize the stability and precision the weapon offers.
Crowd Tactics; You are adept at moving through and fighting in crowds.
Crush; Like a dragon, you can hurl your body onto opponents to deal tremendous damage.
Crushing Strike; You wield a bludgeoning weapon with superior power, allowing you to batter aside an opponent's defenses.
Cull Wand Essence; You can focus the raw magical energy of a wand or staff into a beam of energy.
Cumbrous Dodge; You have a chance to dodge attacks that hit you, but at a cost.
Cumbrous Fortitude; You have a greater chance than normal to resist attacks against your vitality, but at a cost.
Cumbrous Reflexes; You have a greater chance to resist attacks against your agility, but at a cost.
Cumbrous Will; You have a greater chance to resist attacks against your willpower, but at a cost.
Cunning Evasion; When an area attack detonates around you, you use the chaos and flash of energy to duck out of sight.
Cunning Sidestep; You have a better than normal chance to avoid being bull rushed or tripped.
Curative Legacy; Your item's legacy ability is so linked with your aura that it restores your health each time it is activated.
Curling Wave Strike; Mimicking the forceful power of the wave, you can trip multiple foes as part of the same strike.
Cuthbert's Smite; You can smite chaotic creatures as well as evil ones.
Cutpurse; You are able to pick the pockets of your melee opponents.
Dallah Thaun's Luck; You can rely on a good dose of luck to get you through almost any scrape. Other halflings say the blessing of Dallah Thaun is upon you.
Damage Reduction; You can shrug off some damage from attacks.
Dampen Spell; From the lowliest prestidigitator to the most august hierophant, spellcasters both arcane and divine recognize the power of counterspelling. You are no exception. You have learned to channel energy into a foe's spell to weaken its effects. Although you fail to nullify the spell, you render it much easier to resist.
Dancing Blade; You have an energetic fighting style modeled after traditional Salkrian dancing.
Dancing with Shadows; You have studied sheshan talarash dasyannah, the martial dance of the kalashtar.
Danger Sense; You are one twitchy individual.
Danger Sense; You are one twitchy mother goose.
Daredevil Athlete; You are capable of pulling off amazing stunts.
Darguun Mauler; The memory of your people's lost glory drives your brutal mastery of the weapons of Darguun.
Daring Outlaw ; You combine grace and stealth to deadly effect.
Daring Warrior; You combine agility and extraordinary combat prowess to great effect.
Dark Speech; The character learns a smattering of the language of truly dark power.
Dark Speech; You learn a smattering of the language of truly dark power.
Dark Whispers; By whispering foul utterances in the Dark Speech, you can drive your enemies insane.
Darkstalker; You have learned how to stalk and surprise creatures whose senses are very different from those of a humanoid.
Dash; You can move faster than normal.
Dash; You move faster than normal for your race.
Daunting Presence; You are skilled at inducing fear in your opponents.
Dauntless; You can stand up to greater punishment than most and still keep on going.
Daylight Adaptation; Through long exile from the shadowed homelands of your kind, you have learned to endure the painful sunlight of the surface world. Region; Drow, gray dwar, orc.
Daylight Adaptation; You have accustomed yourself to the painful sunlight of the surface world.
Daylight Adaptation; You have grown accustomed to living in the surface world, such that bright light no longer blinds or dazzles you.
Dazzling Energy; Your facility with energy is such that enemies are shaken by your prowess.
Dazzling Fire; The illumination you can bestow on others impedes their ability to fight.
Dazzling Illusion; Casting illusions causes the air about you to be filled with flashing colors that dazzle your foes.
Dead Eye; Your precision with ranged weapons translates into more telling strikes than you could normally make.
Deadeye Shot; You carefully line up a ranged attack, timing it precisely so that you hit your opponent when his guard is down. When your target is busy dealing with an ally's melee attack, you strike.
Deadly Chill; Undead you raise or create deal more damage than normal.
Deadly Defense; You are at your most dangerous when forced to protect yourself.
Deadly Poison; Your poison attack deals more damage than normal.
Deadly Precision; You empty your mind of all distracting emotion, becoming an instrument of deadly precision.
Deadly Spittle; You can use your spit attack against multiple opponents.
Deafening Song; Your bardic music deafens those nearby.
Deafening Spell; You can modify a spell so it deafens targets
Deafening Strike ; Your stealthy attack leaves your foe's head ringing.
Death Blow; You waste no time in dealing with downed foes.
Death Devotion; The power of death imbues your weapon with exceptional might.
Death Frenzy; When an aboleth takes this feat, its sense of immortality rebels against the very concept of death. If threatened with death, the creature becomes frenzied with speed and fury.
Death Master; Foes are especially afraid of your critical hits.
Death of Enemies; You can instantly slay your favored enemies with a single strike.
Deathless Fleshgrafter; You can grow and graft the tissues and body parts of deathless creatures onto others, granting the recipients of your grafts new, potent abilities.
Debilitating Spell; By calling upon the taint within, you add a malign power to your offensive spells.
Debilitating Strike; By calling upon the taint within, you add a malign power to your melee attacks.
Deceitful; You have a knack for disguising the truth.
Deceptive Dodge; You can asume a defensive posture that allows you to redirect melee attacks made against you.
Deceptive Illumination; Your innate power to create mobile light is far more precise than others'.
Deceptive Spell ; You can cast spells that seem to come from somewhere other than where they should.
Deep Denizen; You are adapted to a subterranean environment.
Deep Impact; You can strike your foe with a melee weapon as if making a touch attack.
Deep Vision; Your mental focus helps you see farther with darkvision.
Deepening Darkness; Your inherent ability to create darkness is more powerful than normal.
Deepspawn; The abnormalities of your aberration-tainted heritage grow more pronounced. Your body undergoes a shocking degeneration into something that is strikingly inhuman.
Defender of the Homeland; You have sworn a sacred oath to protect your country from evil.
Defending Spirit ; Your watchful spirit helps keep you safe in combat.
Defense against the Supernatural; Your in-depth knowledge of supernatural forces grants you greater ability to resist their effects.
Defensive Archery; You can avoid attacks of opportunity when making ranged attacks while threatened.
Defensive Shell; The psionic entity living in your mind enables you to better resist attacks.
Defensive Strike; You can turn a strong defense into a powerful offense.
Defensive Strike; You can turn a strong defense into a powerful offense. This feat is called _musubi_ in Rokugan.
Defensive Sweep; You sweep your weapon through the area you threaten, warding away opponents and forcing them to move away or suffer a fearsome blow.
Defensive Throw; You can use your opponent's weight, strength, and momentum against her, deflecting her attack and throwing her to the ground.
Deflect Arrows; You can deflect incoming arrows, as well as crossbow bolts, spears, and other projectile or thrown weapons.
Deflective Armor; Your armor shields you from touch attacks as well as regular blows.
Deformity (Clawed Hands); Because of intentional self-mutilation, the character has deformed arms and hands ending in sharp claws.
Deformity (Eyes); The character has either drilled a hole in her forehead trying to add a third eye, or she has supernaturally scarred one of her regular eyes.
Deformity (Eyes); You have either drilled a hole in your forehead trying to add a third eye, or you have supernaturally scarred one of your regular eyes.
Deformity (Face); Because of intentional self-mutilation, the character has a hideous face.
Deformity (Face); Because of intentional self-mutilation, you have a hideous face.
Deformity (Gaunt); Through intentional starvation and macabre operations, the character is grossly underweight.He has a skeletal appearance, and his weight is now half normal for creatures of his kind.
Deformity (Gaunt); Through intentional starvation and macabre operations, you are grossly underweight. You have a skeletal appearance, and your weight is now half normal for creatures of your kind.
Deformity (Madness); You revel in madness, embracing your hallucinations, erratic behavior, and deviant cravings. Your mind cannot be touched by outside influences.
Deformity (Obese); Through intentional gorging and general gluttony, the character is obese. Grossly overweight, she is now at least triple the normal weight for creatures of her kind.
Deformity (Parasite); You invite parasites into your body in exchange for a greater hardiness against diseases and poisons.
Deformity (Skin); Due to a regimen of deliberate abuse, you have roughened your skin until it has grown as coarse and tough as rhino hide.
Deformity (Tall); Through long and painful stints on the rack, bolstered by the surgical implantation of various splints and struts, you have stretched yourself to well over 7 feet in height.
Deformity (Teeth); By fi ling your teeth to points and brutalizing your gums, you gain a hideous smile full of razor-sharp teeth that enable you to make a grisly bite attack.
Deformity (Tongue); Through protracted self-mutilation that involves frequently piercing your tongue and dipping it in acid, your tongue becomes hideous to behold but oddly sensitive to the environment.
Deft Hands; You have exceptional manual dexterity.
Deft Opportunist; You are prepared for the unexpected.
Deft Strike; You can place attacks at weak points in your opponent's defenses.
Delay Potion ; You can drink a potion and postpone its effects.
Delay Power; You can manifest powers that go off up to 5 rounds later.
Delay Power; You can manifest powers that trigger a set duration after manifestation.
Delay Spell; You can cast spells that take effect after a short delay of your choosing.
Delay Spell; You can cast spells tliat take effect after a short delay of your choosing. Prerequiitte: Any other metimagic feat.
Demon Mastery; You are particularly skilled at summoning demons and convincing them to serve you.
Demonic Conduit ; Your evil brand incorporates blasphemous runes and sigils that augment magical attacks you make against lawful and/or good targets.
Demonic Skin ; Your skin has rough, scaly patches that enhance your natural armor.
Demonic Sneak Attack ; You know exactly how to twist the blade to get the most out of your sneak attacks.
Demonsworn Knight; A scornful champion of the demon princes, you detest and oppose devils and other creatures that refuse to heed the call of chaos.
Desert Dweller; You are adapted to a desert environment.
Desert Fire; The power of the Desert Wind surges through you, and you find power in the motion of the hot winds and shifting sands that you can channel into your Desert Wind srrikes.
Desert Wind Dodge; Your training in the Desert Wind discipline allows you to dance across the battlefield like a blistering sirocco.
Despana School; You have learned House Despana's fighting  techniques, which involve teaming up against an enemy with summoned creatures.
Destruction Devotion; Your attacks weaken your opponents' defenses.
Destruction Retribution; Undead you raise or create harbor a retributive curse that is unleashed if they are destroyed.
Destructive Rage; You can shatter barriers and objects when enraged.
Destructive Rage; You shatter barriers and objects when enraged.
Detach; You can remove a part of your body and use it as a ranged weapon.
Detached; You maintain a distance from events that keeps you grounded but limits your reaction speed.
Detect Shadow Weave User; You can determine if a magic item or spellcaster is using the Weave or the Shadow Weave.
Devastating Critical; Choose one type of melee weapon, such as a claw or bite. With that weapon, you are capable of killing any creature with a single strike.
Devastating Critical; Choose one type of melee weapon, such as longsword or greataxe. With that weapon, you are capable of killing any creature with a single strike.
Devil's Aura; Your close association with diabolic powers stains your soul. By focusing your power, you can cause other creatures to become unsettled and nervous in your presence.
Devil's Favor; You have entered into an infernal pact with a dark power. In return for an indelible stain on your soul, and possibly an eternity of torment in Hell, you gain the ability to call upon the powers of Hell to aid your efforts.
Devil's Flesh; Your skin thickens and assumes a scaled, leathery texture that turns aside blows but serves as a clear mark of your taint.
Devil's Sight; Your eyes glow red with infernal energy, allowing you to pierce magical darkness.
Devil's Stamina; Your body is infused with the toughness and fortitude of a devil. You can shrug off attacks that would slay a lesser creature.
Devil's Tongue; You gain a devil's talent for trickery and deceit. Your words form a verbal maze that clouds your opponent's mind. As a physical mark of this ability, your tongue becomes forked like a serpent's.
Devoted Bulwark; Because ol your staunch devotion to your cause and your Devoted Spirit training, you can stand your ground even in the face of an enemy's resounding attack.
Devoted Inquisitor; Your faithful service to your patron deity involves training and methods that many paladins consider questionable. By using the unconventional methods of rogues and assassins, you have learned to deliver devastating sneak attacks against evil foes.
Devoted Performer; You have foregone the pursuit of frivolous musical talents, instead entering religious training in service of honor and justice.
Devoted Tracker; You have found a balance between your woodland training and your devotion to religious training, blending these two aspects into one seamless whole.
Dexterous Fortitude; You are able to resist physical attacks with exceptional agility.
Dexterous Will; You are able to resist compelling effects with exceptional agility.
Diehard; You can remain conscious after attacks that would fell others.
Dilate Aura; You can extend the range of your aura.
Diligent; Your meticulousness allows you to analyze minute details that others miss.
Dimensional Jaunt; With a single step, you can cross an entire room.
Dimensional Reach; You can transport small objects to you with an act of will.
Diminutive Wild Shape; You can wild shape into animals of Diminutive size.
Dinosaur Hunter; Your extraordinary knowledge of dinosaurs grants you special aptitude for tracking and hunting them.
Dinosaur Wrangler; You are attuned to dinosaurs and possess a special bond with them.
Dire Charge; You can make a full attack as part of a charge.
Dire Flail Mind Blade; When you reshape your mind blade, you can change it into an exotic weapon: a dire flail.
Dire Flail Smash; You have mastered the style of fighting with the dire flail and have learned to deal thunderous blows with the weapon.  
Dire Stun; When you choose to stun your foe with your lurk augment ability, your foe might be stunned for a long time.
Dirty Fighting; You know the brutal and effective fighting tactics of the streets and back alleys.
Dirty Rat; You are quite adept at slipping under a foe's guard while he's distracted.
Disarm Mind; You can directly deplete your foe's power point total with psionic attacks.
Disciple of Darkness; The character formally supplicates himself to an archdevil. In return for this obedience, he gains a small measure of power.
Disciple of Darkness; You formally supplicate yourself to an archdevil. In return for this obedience, you gain a small measure of the archdevil's power.
Disciple of the Sun; You can destroy undead instead of merely turning them.
Discipline; Your ancestor, Naka Kaeteru, was the first Grand Master of all the elements, a master of meditation and contemplation.
Discipline; Your people are admired for their single-minded determination and clarity of purpose. You are diffi cult to distract by spell or blow.
Discipline; Your people are admired for their single-minded determination and clarity of purpose. You are difficult to distract by spell or blow. Regions: Aglarond, Anauroch, Cormyr, Impiltur, Thay, strongheart halfling, sun elf, rock gnome. 
Disease Immunity; Whether due to prolonged exposure or natural hardiness, you have grown immune to some diseases and resistant to all others.
Disemboweling Strike ; You can slash open your opponent to devastating effect.
Disentangler; Thanks to the teachings of Thard Harr, you have practiced evading the attacks of jungle plants.
Disguise Spell; The deity can cast spells without observers noticing it.
Disguise Spell; You can cast spells without observers noticing.
Dishonest; Dishonest You are naturally deceitful and insincere with others. You have a talent for lying, but have diffi culty convincing others when you do speak truthfully.
Disintegration Finesse; A creature with this feat can use disintegrate effects to affect smaller, more exacting areas.
Disjunction Ray; A beholder with this feat can narrow its antimagic cone down to an eye ray that disjoins magic.
Dismount Attack; You can leap out of the saddle onto a foe.
Disrupting Spell; You can cast spells that disrupt other caster's magical capabilities.
Distant Horizon; An initiate of the Setting Sun sometimes learns a set of combat maneuvers that combine to create the Distant Horizon fighting form. This form teaches you how to recognize an opponent's weaknesses in the current moment, as well as in the future. A blow struck now ruins an opponent's defenses against your next volley of attacks.
Distant Shot; You can target anything you can see with a ranged weapon.
Distinctive; You have some distinctive physical feature such as a scar, a prominent nose, a limp, or some similar characteristic that is hard to disguise or conceal.
Distracting Attack; You are skilled at interfering with opponents in melee.
Disturbing Visage; You can change your features to chilling effect.
Dive For Cover; You can dive behind cover or drop to the ground quickly enough to avoid many area effects.
Diverse Background; You have a wide and diverse background, giving you a greater understanding of different occupations.
Divine Accuracy; You can channel positive energy to give your allies' melee attacks another chance to strike true against incorporeal creatures.
Divine Alacrity; You channel divine energies into your own body, increasing your speed.
Divine Armor; You call upon your deity to protect you in your hour of need by wreathing you in divine power that wards off your enemies' attacks.
Divine Censure; You can channel divine energy to instill fear in evil outsiders.
Divine Cleansing; You can channel energy to improve you and your allies' ability to resist poison and curses.
Divine Cleansing; You can channel energy to improve your allies' ability to resist attacks against their vitality and health.
Divine Conduit; You can lend your own divine power to a divine spellcaster of your faith.
Divine Countermagic; You channel divine energies to counter spells.
Divine Damage Reduction; You can channel energy to give yourself a small amount of protection from weapons.
Divine Defiance; You can channel divine energy to counter spells without readying an action in advance.
Divine Denial; You harden your will against the power of the deities.
Divine Energy Focus; You have a gift for channeling positive or negative energy.
Divine Fervor; You can use divine energy to gain a temporary boost to an ability score.
Divine Fortune; With a quick prayer, you channel divine energy to help resist a spell, poison, or other deadly effect.
Divine Intercession; You can channel divine energy to remove yourself from a dangerous situation.
Divine Justice; You can channel divine energy to deal extra melee damage to evil outsiders.
Divine Justice; You can channel divine energy to turn your foe's strength against him, striking him with the same force that he used against you.
Divine Metamagic; You can channel energy into some of your divine spells to make them more powerful.
Divine Might; The deity can channel energy to increase its damage in combat.
Divine Might; You can channel energy to increase the damage you deal in combat.
Divine Might; You can channel energy to increase your damage in combat.
Divine Resistance; You can channel energy to temporarily reduce damage you and your allies take from some sources
Divine Resistance; You can channel energy to temporarily reduce damage you and your allies take from some sources.
Divine Shield; You can channel energy to make your shield more effective for either offense or defense.
Divine Soultouch; You can channel positive or negative energy to imbue yourself with incarnum.
Divine Spell Penetration; Choose one component of your alignment (chaotic, evil, good, or lawful). Any divine spells of that alignment that you cast are more capable of defeating spell resistance than normal.
Divine Spell Power; You can channel positive or negative energy to enhance your divine spellcasting ability.
Divine Spellshield; You can channel energy to help your allies resist spells and spell-like effects.
Divine Spirit; The fervor and dedication of the Devoted Spirit discipline, combined with your fanatical adherence to a divine power, turns you into a font of spiritual energy. With only a moment's focus, you can channel power to enhance your fighting talents.
Divine Vengeance; The deity can channel energy to do additional energy damage in combat against undead.
Divine Vengeance; You can channel energy to deal additional damage against undead in melee.
Divine Vengeance; You channel energy to do additional energy damage in combat against undead.
Divine Vigor; You can channel energy to increase your speed and Constitution.
Divine Vigor; You can channel energy to increase your speed and durability.
Divine Ward; You create a channel of divine energy between yourself and a willing ally. This link allows you to cast your spells upon him from greater than normal range.
Divine Warrior; Through divine power, you wield your deity's favored weapon to devastating effect.
Diving Charge; You can dive down at a target to deal a devastating strike.
Dodge; You are adept at dodging blows.
Domain Focus; You have mastered the subtle intricacies of the divine power you've devoted yourself to.
Domain Spontaneity; You are so familiar with one of your domains that you can convert other prepared spells into spells from that domain.
Don Mantle; You gain the granted ability of a mantle you have tapped.
Doomspeak; You can demoralize an enemy with horrible condemnations and grim portents of impending doom.
Dorje Mastery; Psionic dorjes are more potent in your hands.
Double Chakra; One of your chakras becomes capable of holding more incarnum than it is normally capable of containing.
Double Draconic Aura; You can project two draconic auras simultaneously.
Double Hit; You can react with your off hand to make an additional attack along with an attack of opportunity.
Double Steel Strike; Through monastic weapon training, you have mastered a fighting style that makes use of an unusual monk weapon: the two-bladed sword.
Double Team; When fighting with at least one ally who also possesses this feat, you can coordinate your attacks effectively and threaten your opponent's vital areas more easily
Double Wand Wielder; You can activate two wands at the same time.
Draconian Breath Weapon; You have harnessed your draconic heritage and can attack with a dragonlike breath weapon.
Draconic Arcane Grace; You can convert some of your arcane spell energy into a saving throw bonus.
Draconic Archivist; In addition to your studies of the darkness, you have spent time studying dragons and constructs.
Draconic Armor ; You learn to block damage from successful attacks, lessening the blows with spell energy.
Draconic Aura; You can tap into the raw power of dragons to create a variety of potent auras around you.
