/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Desiccating Bubble; Necromancy; no; yes; yes; no; yes; no; Savage Species; Supplementals (3.0); 
Despoil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Despoil; Transmutation; yes; yes; yes; no; no; no; Lords of Madness; Supplementals (3.5); 
Despoil; Transmutation; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Destruction; Necromancy; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Detect Abberation; Divination; yes; yes; no; no; yes; no; Eberron Campaign Setting; Eberron (3.5); 
Detect Aberration; Divination; yes; yes; no; no; no; no; Lords of Madness; Supplementals (3.5); 
Detect Animals Or Plants; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Detect Chaos; Divination; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Detect Crossroads; Divination; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Detect Curse; Divination; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Detect Disease; Divination; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Detect Dragonblood; Divination; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Detect Dragonmark; Divination; yes; yes; yes; no; yes; no; Magic of Eberron; Eberron (3.5); 
Detect Evil; Divination; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Detect Favored Enemy; Divination; yes; yes; no; no; yes; no; Complete Divine; Supplementals (3.5); 
Detect Favored Enemy; Divination; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Detect Favored Enemy; Divination; yes; yes; no; no; yes; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Detect Fire; Divination; yes; yes; no; no; yes; no; Frostburn; Supplementals (3.5); 
Detect Ghost; Divination; yes; yes; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Detect Good; Divination; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Detect Incarnum; Divination; yes; yes; no; no; yes; no; Magic of Incarnum; Supplementals (3.5); 
Detect Law; Divination; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Detect Magic; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Detect Manifest Zone; Divination; yes; yes; no; no; yes; no; Faiths of Eberron; Eberron (3.5); 
Detect Metal and Minerals; Divination; yes; yes; yes; no; no; no; Races of Faerûn; Forgotten Realms (3.0); 
Detect Poison; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Detect Scrying; Divination; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Detect Secret Doors; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Detect Ship; Divination; yes; yes; no; yes; no; no; Stormwrack; Supplementals (3.5); 
Detect Snares and Pits; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Detect Taint; Divination; yes; yes; no; no; no; no; Heroes of Horror; Supplementals (3.5); 
Detect Taint; Divination; yes; yes; no; no; yes; no; Oriental Adventures; Oriental Adventures (3.0); 
Detect Thoughts; Divination; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Detect Undead; Divination; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Detect Vestige; Divination; yes; yes; no; no; yes; no; Tome of Magic; Supplementals (3.5); 
Detect Weaponry; Divination; yes; yes; no; no; no; no; CityScape; Supplementals (3.5); 
Detonate; Evocation; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Detoxify; Conjuration; yes; yes; no; no; yes; no; Eberron Campaign Setting; Eberron (3.5); 
Devastate Undead; Necromancy; yes; yes; no; yes; no; no; Lords of Darkness; Forgotten Realms (3.0); 
Devastating Smite; Transmutation; yes; yes; no; no; yes; no; The Forge of War; Eberron (3.5); 
Devastating Throw; Setting Sun; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Devil Blight; Transmutation; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Devil Blight; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Devil's Ego; Transmutation; yes; yes; no; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Devil's Ego; Transmutation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Devil's Eye; Transmutation; yes; yes; no; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Devil's Eye; Divination; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Devil's Tail; Transmutation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Devil's Tongue; Transmutation; no; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Dhulark's Glasstrike; Transmutation; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Diamond Defense; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Diamond Nightmare Blade; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Diamond Spray; Evocation; yes; yes; yes; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Diamondsteel; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Dictum; Evocation; yes; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dimension Door; Conjuration; yes; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dimension Door, Greater; Conjuration; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Dimension Hop; Conjuration; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Dimension Jumper; Conjuration; yes; no; no; no; no; no; Complete Mage; Supplementals (3.5); 
Dimension Jumper, Greater; Conjuration; yes; no; no; no; no; no; Complete Mage; Supplementals (3.5); 
Dimension Leap; Conjuration; yes; no; no; no; no; no; Magic of Eberron; Eberron (3.5); 
Dimension Shuffle; Conjuration; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Dimension Step; Conjuration; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Dimensional Anchor; Abjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dimensional Lock; Abjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dimensional Lock; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Dimensional Lock; Abjuration; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Diminish Breath Weapon; Transmutation; yes; no; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Diminish Plants; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Dinosaur Stampede; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Dire Hunger; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Dirge; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Dirge; Evocation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Dirge of Discord; Enchantment; yes; yes; yes; no; no; no; Complete Adventurer; Supplementals (3.5); 
Dirge of Discord; Enchantment; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Disable Construct; Transmutation; yes; yes; no; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Disarming Strike; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Discern Bloodline; Divination; yes; yes; yes; no; no; no; Races of Destiny; Supplementals (3.5); 
Discern Lies; Divination; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Discern Location; Divination; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Discern Shapechanger; Divination; yes; yes; yes; no; no; no; Races of Eberron; Eberron (3.5); 
Discern Shapechanger; Divination; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Discern Shapechanger; Divination; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Discern Shapechanger; Divination; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Discolor Pool; Illusion; yes; yes; yes; no; no; no; Planar Handbook; Supplementals (3.5); 
Discolor Pool; Illusion; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Discordant Malediction; Transmutation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Disguise Self; Illusion; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Disguise Ship; Illusion; yes; yes; yes; no; no; no; Stormwrack; Supplementals (3.5); 
Disguise Undead; Illusion; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Disguise Undead; Illusion; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Disguise Undead; Illusion; yes; yes; no; yes; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Disguise Undead; Illusion; yes; yes; no; yes; no; no; Ghostwalk; Supplementals (3.0); 
Disintegrate; Transmutation; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Disjoin; Abjuration; yes; yes; no; no; no; yes; Dragonlance Campaign Setting; Dragonlance (3.5); 
Disk of Solar Vengeance; Evocation; yes; yes; no; no; yes; no; Champions of Valor; Forgotten Realms (3.5); 
Dismissal; Abjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Disobedience; Abjuration; yes; yes; yes; no; no; no; Complete Scoundrel; Supplementals (3.5); 
Dispel Chaos; Abjuration; no; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dispel Cold; Abjuration; no; no; no; no; no; no; Frostburn; Supplementals (3.5); 
Dispel Evil; Abjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Dispel Fire; Abjuration; no; no; no; no; no; no; Frostburn; Supplementals (3.5); 
Dispel Fog; Abjuration; yes; yes; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Dispel Good; Abjuration; no; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dispel Law; Abjuration; no; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dispel Magic; Abjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dispel Magic, Greater; Abjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dispel Possession; Abjuration; yes; yes; yes; no; yes; no; Ghostwalk; Supplementals (3.0); 
Dispel Silence; Abjuration; no; yes; no; no; yes; no; Champions of Valor; Forgotten Realms (3.5); 
Dispel Taint; Abjuration; yes; yes; no; no; yes; no; Oriental Adventures; Oriental Adventures (3.0); 
Dispel Ward; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Dispel Water; Abjuration; yes; yes; no; no; no; no; Sandstorm; Supplementals (3.5); 
Dispelling Breath; Abjuration; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Dispelling Breath; Abjuration; no; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Dispelling Screen; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Dispelling Screen, Greater; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Dispelling Touch; Abjuration; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Displacement; Illusion; yes; no; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Displacer Form; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Disquietude; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Disquietude; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Disrupt Ectoplasm; Necromancy; yes; yes; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Disrupt Undead; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Disrupt Undead, Greater; Necromancy; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Disrupting Blow; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Disrupting Weapon; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dissonant Chant; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Dissonant Chant; Abjuration; yes; yes; no; no; no; no; Savage Species; Supplementals (3.0); 
Dissonant Chord; Evocation; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Dissonant Chord; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Distilled Joy; Transmutation; yes; yes; no; yes; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Distort Speech; Transmutation; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Distort Speech; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Distort Speech; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Distort Summons; Transmutation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Distort Weapon; Transmutation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Distract; Enchantment; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Distract Assailant; Enchantment; yes; yes; yes; no; no; no; Complete Adventurer; Supplementals (3.5); 
Distract Assailant; Enchantment; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Distracting Ember; Desert Wind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Distracting Ray; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Distracting Shadows; Evocation; yes; no; yes; no; no; no; Magic of Eberron; Eberron (3.5); 
Divest Essentia; Necromancy; yes; no; no; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Divination; Divination; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Divine Agility; Transmutation; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Divine Agility; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Divine Agility; Transmutation; yes; yes; no; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Divine Favor; Evocation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Divine Flame; Abjuration; yes; yes; no; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Divine Insight; Divination; yes; yes; no; no; yes; no; Complete Adventurer; Supplementals (3.5); 
Divine Insight; Divination; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Divine Inspiration; Divination; no; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Divine Interdiction; Abjuration; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Divine Power; Evocation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Divine Presence; Transmutation; yes; yes; no; no; no; no; Complete Champion; Supplementals (3.5); 
Divine Protection; Enchantment; yes; yes; no; no; yes; no; Miniatures Handbook; Supplementals (3.5); 
Divine Protection; Enchantment; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Divine Retaliation; Evocation; yes; yes; no; no; yes; no; Player's Handbook II; Supplementals (3.5); 
Divine Retribution; Abjuration; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Divine Retribution; Abjuration; yes; yes; no; no; yes; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Divine Sacrifice; Necromancy; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Divine Sacrifice; Evocation; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Divine Sacrifice; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Divine Sacrifice; Evocation; yes; yes; no; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Divine Storm; Evocation; yes; yes; no; no; yes; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Divine Surge; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Divine Surge, Greater; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Divine Zephyr; Abjuration; yes; yes; no; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Dolorous Blow; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Dolorous Motes; Enchantment; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Dominate Animal; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dominate Living Construct; Enchantment; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Dominate Monster; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dominate Person; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dominate Person Or Ghost; Enchantment; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Dominate Vermin; Transmutation; yes; yes; no; no; yes; no; Drow of the Underdark; Supplementals (3.5); 
Doom; Necromancy; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Doom Charge; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Doom of the Seas; Conjuration; yes; yes; no; no; yes; yes; Stormwrack; Supplementals (3.5); 
Doom Scarabs; Conjuration/Necromancy; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Doomtide; Illusion; yes; yes; no; no; yes; no; Complete Divine; Supplementals (3.5); 
Doomtide; Illusion; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Doomtide; Illusion; yes; yes; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Door of Decay; Conjuration; yes; yes; no; no; no; no; Complete Champion; Supplementals (3.5); 
Door to Great Evil; Transmutation; yes; no; no; no; yes; no; Ghostwalk; Supplementals (3.0); 
Doppelganger Transformation; Transmutation; yes; yes; no; no; yes; no; Races of Eberron; Eberron (3.5); 
Doublespeak; Illusion; no; yes; yes; no; no; no; Complete Mage; Supplementals (3.5); 
Doublestrike Arrow; Transmutation; yes; yes; yes; no; no; no; Champions of Ruin; Forgotten Realms (3.5); 
Douse the Flames; White Raven; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Downdraft; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Draconic Might; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Draconic Might; Transmutation; yes; yes; yes; no; no; no; Draconomicon; Supplementals (3.5); 
Draconic Polymorph; Transmutation; yes; no; no; no; no; no; Draconomicon; Supplementals (3.5); 
Dragon Ally; Conjuration; yes; no; no; no; no; yes; Spell Compendium; Supplementals (3.5); 
Dragon Ally; Conjuration; yes; no; no; no; no; yes; Draconomicon; Supplementals (3.5); 
Dragon Ally, Greater; Conjuration; yes; no; no; no; no; yes; Spell Compendium; Supplementals (3.5); 
Dragon Ally, Greater; Conjuration; yes; no; no; no; no; yes; Draconomicon; Supplementals (3.5); 
Dragon Ally, Lesser; Conjuration; yes; no; no; no; no; yes; Spell Compendium; Supplementals (3.5); 
Dragon Ally, Lesser; Conjuration; yes; no; no; no; no; yes; Draconomicon; Supplementals (3.5); 
Dragon Blight; Evocation; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Dragon Breath; Evocation; yes; yes; yes; no; yes; no; Complete Divine; Supplementals (3.5); 
Dragon Breath; Evocation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Dragon Breath; Transmutation; yes; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Dragon Cloud; Conjuration; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Dragon's Flame; Desert Wind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Dragonblood Affinity; Transmutation; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Dragonblood Beast; Transmutation; yes; yes; yes; no; no; no; Dragonmarked; Eberron (3.5); 
Dragonblood Spell-pact; Transmutation; yes; yes; yes; no; no; yes; Dragons of Faerûn; Forgotten Realms (3.5); 
Dragoncall; Enchantment; yes; no; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Dragoneye Rune; Universal; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Dragonmark Demesne; Evocation; yes; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Dragonmark Shield; Abjuration; yes; no; no; no; no; no; Dragonmarked; Eberron (3.5); 
Dragonmark Symbol; Abjuration; yes; yes; yes; no; no; no; Dragonmarked; Eberron (3.5); 
Dragonmark Whip; Transmutation; no; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Dragonmark Whip, Greater; Transmutation; no; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Dragonmarked Weapon; Transmutation; yes; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Dragonmarked Weapon, Greater; Transmutation; yes; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Dragonshape; Transmutation; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Dragonshape, Least; Transmutation; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Dragonshape, Lesser; Transmutation; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Dragonsight; Transmutation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Dragonsight; Transmutation; yes; yes; no; yes; no; no; Draconomicon; Supplementals (3.5); 
Dragonskin; Transmutation; no; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Dragonskin; Transmutation; no; yes; yes; no; no; no; Draconomicon; Supplementals (3.5); 
Drain Vitality; Shadow Hand; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Drawmij's Instant Summons; Conjuration; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dread Blast; Necromancy; yes; yes; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Dread Blast; Necromancy; yes; yes; no; no; no; no; Lords of Darkness; Forgotten Realms (3.0); 
Dread Word; Evocation; yes; no; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Dreaded Form of the Eye Tyrant; Transmutation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Dream; Illusion; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Dream Casting; Illusion; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Dream Casting; Illusion; yes; yes; no; no; no; no; Savage Species; Supplementals (3.0); 
Dream Image; Illusion; yes; yes; yes; no; no; yes; Bastion of Broken Souls; Adventures (3.0); 
Dream Lock; Enchantment; yes; yes; no; no; no; no; Secrets of Sarlona; Eberron (3.5); 
Dream Lock, Mass; Enchantment; yes; yes; no; no; no; no; Secrets of Sarlona; Eberron (3.5); 
Dream Sight; Divination; no; yes; no; no; yes; no; Complete Divine; Supplementals (3.5); 
Dream Sight; Divination; no; yes; no; no; yes; no; Heroes of Horror; Supplementals (3.5); 
Dream Sight; Divination; no; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Dream Sight; Divination; no; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Dream Spirit; Conjuration; yes; yes; no; no; no; no; Secrets of Sarlona; Eberron (3.5); 
Dream Travel; Transmutation; yes; yes; no; no; no; no; Manual of the Planes; Supplementals (3.0); 
Dream Walk; Conjuration; yes; yes; no; no; no; no; Heroes of Horror; Supplementals (3.5); 
Dreaming Puppet; Enchantment; yes; yes; no; no; no; no; Heroes of Horror; Supplementals (3.5); 
Dridershape; Transmutation; yes; yes; no; no; no; no; Drow of the Underdark; Supplementals (3.5); 
Drifts of the Shalm; Evocation; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Drown; Conjuration; yes; yes; no; no; yes; no; Underdark; Forgotten Realms (3.5); 
Drown; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Drown; Conjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Drown; Conjuration; yes; no; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Drown; Conjuration; yes; yes; yes; no; no; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Drown, Mass; Conjuration; no; no; no; no; no; no; Underdark; Forgotten Realms (3.5); 
Drown, Mass; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Drug Resistance; Enchantment; yes; no; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Druid Grove; Transmutation; yes; yes; no; no; no; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Drums of War; Enchantment; yes; yes; no; yes; yes; no; Heroes of Battle; Supplementals (3.5); 
Duelward; Abjuration; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Duelward; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Dust to Dust; Transmutation; yes; yes; no; no; yes; no; Races of the Wild; Supplementals (3.5); 
Dweomer of Transference; Evocation; yes; yes; no; no; no; no; Expanded Psionics Handbook; Supplementals (3.5); 
Dweomer Vortex; Abjuration; yes; no; no; no; no; no; Anauroch: The Empire of Shade; Forgotten Realms (3.5); 
Eagle's Splendor; Transmutation; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Eagle's Splendor; Transmutation; yes; yes; yes; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Eagle's Splendor; Transmutation; yes; yes; yes; no; yes; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Eagle's Splendor, Mass; Transmutation; no; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Early Twilight; Evocation; yes; no; yes; no; yes; no; Heroes of Battle; Supplementals (3.5); 
Earth Glide; Transmutation; yes; yes; no; no; yes; no; Races of Stone; Supplementals (3.5); 
Earth Hammer; Transmutation; yes; no; no; no; no; no; Races of Stone; Supplementals (3.5); 
Earth Lock; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Earth Reaver; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Earth Reaver; Transmutation; yes; yes; no; no; no; no; Savage Species; Supplementals (3.0); 
Earthbind; Transmutation; yes; yes; no; no; no; no; Monster Manual V; Supplementals (3.5); 
Earthbind; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
