/ http://dndtools.eu/items/

.Item; Level; Cost; Slot/Property; Rulebook; Edition

Aberrant Sphere; 7th; 2,800 gp; held; Magic Item Compendium; Supplementals (3.5); 
Healer's Balm; -; 10 gp; -; Complete Adventurer; Supplementals (3.5); 
Healing Belt; 3rd; 750 gp; Waist; Magic Item Compendium; Supplementals (3.5); 
Healing Salve; 6th; 2,250 gp; held; Magic Item Compendium; Supplementals (3.5); 
Heavenly Burst; -; +2 bonus; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Hellpiercer; -; 4,007 gp; Ammunition; Book of Exalted Deeds; Supplementals (3.5); 
Helm of the Hunter; 12nd; 9,000 gp; Head/Armor; Magic Item Compendium; Supplementals (3.5); 
Helm of the Sentinel; -; 20,000 gp; Head; Eberron Campaign Setting; Eberron (3.5); 
Helm of wounding sight; 10th; 6,500 gp; Head/Armor; Magic Item Compendium; Supplementals (3.5); 
Holy; -; +2 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Horn of Plenty; 13rd; 12,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Hwyrr, the Clarion Harp; -; 84,000 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Iasalas, the Watershod; -; 48,100 gp; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Icy Burst; -; +2 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Icy Strand of The North; 7th; 2,500 gp; held; Magic Item Compendium; Supplementals (3.5); 
Incense of Concentration; 2nd; 250 gp; -; Magic Item Compendium; Supplementals (3.5); 
Incense of Consecration; -; 300 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Infinite Scrollcase; 7th; 2,800 gp; held; Magic Item Compendium; Supplementals (3.5); 
Jumping Caltrops; 2nd; ; held; Magic Item Compendium; Supplementals (3.5); 
Keen; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Ki Focus; -; +1 bonus; Melee weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Lens of the Desert; 15th; 20,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Life Ring; 2nd; 400 gp; held; Magic Item Compendium; Supplementals (3.5); 
Lion's Shield; -; 9,170 gp; Shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Longaxe; -; 35 gp; Weapon; Complete Adventurer; Supplementals (3.5); 
Longbow; -; 75 gp; Weapon; Player's Handbook v.3.5; Core (3.5); 
Longstaff; -; 15 gp; Weapon; Complete Adventurer; Supplementals (3.5); 
Longsword; -; 15 gp; -; Player's Handbook v.3.5; Core (3.5); 
Lucky Charm; -; 7,000 gp; -; Complete Scoundrel; Supplementals (3.5); 
Lunistra, the Heartstar; -; 71,850 gp; Armor; Book of Exalted Deeds; Supplementals (3.5); 
Mac-Fuirmidh Cithern; 6th; 2,100 gp; held; Magic Item Compendium; Supplementals (3.5); 
Mace; -; 12 gp; -; Player's Handbook v.3.5; Core (3.5); 
Mace of Smiting; -; 75,312 gp; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Magic Bedroll; 3rd; 500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Magic Siphon; 15th; 25,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Magic Weapon +1; -; 2,000 gp; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Mantle of the Predator; 11th; 8,000 gp; Shoulders; Magic Item Compendium; Supplementals (3.5); 
Map of Unseen Lands [Relic]; 10th; 5,200 gp; held; Magic Item Compendium; Supplementals (3.5); 
Mask of mastery; 8th; 3,500 gp; Face; Magic Item Compendium; Supplementals (3.5); 
Mask of the Tiger; 8th; 4,000 gp; Face; Magic Item Compendium; Supplementals (3.5); 
Medal of stead fast honor; 5th; 1,500 gp; Throat; Magic Item Compendium; Supplementals (3.5); 
Medallion of Aerial Defense; 11th; 8,000 gp; Throat/Armor; Magic Item Compendium; Supplementals (3.5); 
Merciful; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Chaining); 18th; 54,000 gp; -; Magic Item Compendium; Supplementals (3.5); 
Metamagic Rod (Chaining, Greater); 22nd; 121,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Metamagic Rod (Chaining, Lesser); 14th; 14,000 gp; -; Magic Item Compendium; Supplementals (3.5); 
Metamagic Rod (Empower); -; 32,500 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Empower, greater); -; 73,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (empower, lesser); -; 9,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Enlarge); -; 11,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Enlarge, Greater); -; 24,500 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Enlarge, Lesser); -; 3,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Extend); -; 11,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Extend, Greater); -; 24,500 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Extend, Lesser); -; 3,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Maximize); -; 54,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Maximize, Greater); -; 121,500 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Maximize, Lesser); -; 14,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Quicken); -; 75,500 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Quicken, Greater); -; 170,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Quicken, Lesser); -; 35,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Silent); -; 11,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Silent, Greater); -; 24,500 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Metamagic Rod (Silent, Lesser); -; 3,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Mighty Cleaving; -; +1 bonus; Melee weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Mithral Heavy Shield; -; 1,020 gp; Shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Momento Magica, 1st-level spell; 5th; 1,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Momento Magica, 2nd-level spell; 10th; 6,000 gp; -; Magic Item Compendium; Supplementals (3.5); 
Momento Magica, 3rd-level spell; 14th; 13,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Momento Magica, 4th-level spell; 15th; 24,000 gp; -; Magic Item Compendium; Supplementals (3.5); 
Momento Magica, 5th-level spell; 17th; 37,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Momento Magica, 6th-level spell; 18th; 54,000 gp; -; Magic Item Compendium; Supplementals (3.5); 
Momento Magica, 7th-level spell; 19th; 73,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Momento Magica, 8th-level spell; 20th; 96,000 gp; -; Magic Item Compendium; Supplementals (3.5); 
Momento Magica, 9th-level spell; 22nd; 121,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Morningstar; -; 8 gp; Weapon; Player's Handbook v.3.5; Core (3.5); 
Net; -; 20 gp; -; Player's Handbook v.3.5; Core (3.5); 
Net of Snaring; -; ; Weapon/Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Nightblade of Arvandor; -; 44,315 gp; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Nunchaku; -; 2 gp; -; Player's Handbook v.3.5; Core (3.5); 
Panther Mask; 7th; 2,700 gp; Face; Magic Item Compendium; Supplementals (3.5); 
Paralyzing; -; +2 bonus; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Periapt of the Sullen Sea; 10th; 6,000 gp; Throat; Magic Item Compendium; Supplementals (3.5); 
Pick, Heavy; -; 8 gp; Weapon; Player's Handbook v.3.5; Core (3.5); 
Portable Hole; -; 20,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Quarterstaff; -; ; Weapon; Player's Handbook v.3.5; Core (3.5); 
Quickblade Rapier; -; 75 gp; Weapon; Complete Adventurer; Supplementals (3.5); 
Rapier; -; 20 gp; -; Player's Handbook v.3.5; Core (3.5); 
Redeemed Darkskull; -; 60,000 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Redeemed Demon Armor; -; 88,590 gp; Armor; Book of Exalted Deeds; Supplementals (3.5); 
Redeemed Mace of Blood; -; 18,312 gp; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Redeemed Nine Lives Stealer; -; ; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Redeemed Robe of the Archmagi; -; 75,000 gp; Body; Book of Exalted Deeds; Supplementals (3.5); 
Redeemed Rod of the Viper; -; 13,000 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Redeemed Unholy Weapon; -; +2 bonus; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Retributive Amulet; -; 56,000 gp; Throat; Book of Exalted Deeds; Supplementals (3.5); 
Returning; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Righteous; -; +4 bonus; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Ring of Adamantine Touch; -; 120,000 gp; Ring; Book of Exalted Deeds; Supplementals (3.5); 
Ring of Affliction; -; 72,000 gp; Ring; Book of Exalted Deeds; Supplementals (3.5); 
Ring of Animal Friendship; -; 10,800 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Blinking; 16th; 27,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Chameleon Power; 13rd; 12,700 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Climbing; -; 2,500 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Clumsiness; -; 500 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Counterspells; 8th; 4,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Djinni Calling; 22nd; 125,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Elemental Command (air); 25th; 200,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Elemental Command (earth); 25th; 200,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Elemental Command (fire); 25th; 200,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Elemental Command (water); 25th; 200,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Evasion; 15th; 25,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Feather Falling; 6th; 2,200 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Force Shield; 12nd; 8,500 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Freedom of Movement; 17th; 40,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Friend Shield; 18th; 50,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Greater Energy Resistance; 17th; 44,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Improved Climbing; 7th; 10,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Improved Jumping; 12nd; 10,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Invisibility; 15th; 20,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Jumping; 7th; 2,500 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Major Energy Resistance; 16th; 28,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Major Spell Storage; 25th; 200,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Mind Shielding; 11th; 8,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Minor Energy Resistance; 13rd; 12,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Minor Spell Storing; 14th; 18,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Protection +1; -; 2,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Protection +2; -; 8,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Protection +3; -; 18,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Protection +4; -; 32,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Protection +5; -; 50,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Regeneration; 20th; 90,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Shooting Stars; 18th; 50,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Solar Wings; -; 118,000 gp; Ring; Book of Exalted Deeds; Supplementals (3.5); 
Ring of Spell Storing; 18th; 50,000 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Spell Turning; 20th; 98,280 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of the Ram; 12nd; 8,600 gp; Ring; Dungeon Master's Guide v.3.5; Core (3.5); 
Ring of Vengeance; -; 4,500 gp; Ring; Book of Exalted Deeds; Supplementals (3.5); 
Roaring; -; +3 bonus; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Robe of Eyes; -; 120,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Robe of Vermin; 13rd; 16,500 gp; Body; Dungeon Master's Guide v.3.5; Core (3.5); 
Rod of Absorption; -; 50,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Rod of Alertness; -; 85,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Rod of Cancellation; -; 11,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Rod of Enemy Detection; -; 23,500 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Rod of Flailing; -; 50,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Rod of Flame extinguishing; -; 15,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Rod of Negation; -; 37,000 gp; held; Dungeon Master's Guide v.3.5; Core (3.5); 
Sacred; -; +2 bonus; Armor or shield; Book of Exalted Deeds; Supplementals (3.5); 
Sandals of the light step; 12nd; 9,000 gp; Feet; Magic Item Compendium; Supplementals (3.5); 
Scorpian Kama; 10th; 6,302 gp; held; Magic Item Compendium; Supplementals (3.5); 
Scythe; -; 18 gp; -; Player's Handbook v.3.5; Core (3.5); 
Seeking; -; +1 bonus; Ranged weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Seryl, the Laughing Bow; -; 38,900 gp; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Shackles of Silence; -; 12,000 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Shield of Vigor; 10th; 6,470 gp; held/Shield; Magic Item Compendium; Supplementals (3.5); 
Shock; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Shocking Burst; -; +2 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Shortsword; -; 10 gp; -; Player's Handbook v.3.5; Core (3.5); 
Sling; -; ; -; Player's Handbook v.3.5; Core (3.5); 
Slippery Aura; -; 45,000 gp; Armor; Dungeon Master's Guide II; Supplementals (3.5); 
Slippery Mind; -; 45,000 gp; Armor; Dungeon Master's Guide II; Supplementals (3.5); 
Soulfire; -; +4 bonus; Armor; Book of Exalted Deeds; Supplementals (3.5); 
Spear; -; 2 gp; -; Player's Handbook v.3.5; Core (3.5); 
Speed; -; +3 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Spell Resistance; -; +2 bonus; Armor or shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Spell Storing; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Spell Trapping; -; +5 bonus; Armor or shield; Dungeon Master's Guide II; Supplementals (3.5); 
Sphere of Annihilation; -; ; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Spined Shield; -; 5,580 gp; Armor or shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Abjuration; 19th; 65,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Charming; 14th; 16,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Conjuration; 19th; 65,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Defense; 18th; 58,250 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Divination; 19th; 73,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Earth and Stone; 20th; 80,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Enchantment; 19th; 65,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Evocation; 19th; 65,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Fire; 16th; 17,750 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Frost; 18th; 56,250 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Healing; 16th; 27,750 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Illumination; 18th; 48,250 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Illusion; 19th; 65,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Life; 23rd; 155,750 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Necromancy; 19th; 65,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Passage; 24th; 170,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Power; 25th; 211,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Rapture; -; 73,800 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Staff of Size Alteration; 16th; 29,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Swarming Insects; 16th; 24,750 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of the Woodlands; 21st; 101,250 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Staff of Transmutation; 19th; 65,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Standard of Valor; 5th; 1,400 gp; Shoulders; Magic Item Compendium; Supplementals (3.5); 
Starmantle Cloak; -; 132,000 gp; Shoulders; Book of Exalted Deeds; Supplementals (3.5); 
Sunstaff; -; 173,300 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Sword of the Planes; -; 22,315 gp; Weapon/Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Talisman of the Sphere; -; ; -; Dungeon Master's Guide v.3.5; Core (3.5); 
The Regalia of Good; -; ; -; Book of Exalted Deeds; Supplementals (3.5); 
Throwing; -; +1 bonus; Melee weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Thundering; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Thurible of Consecration; -; 5,000 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Torvion, the Fifth Shield; -; 49,659 gp; Shield; Book of Exalted Deeds; Supplementals (3.5); 
Trumpet of Doom; -; 7,185 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Trumpet of Healing; -; 115,440 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Twilight; -; +1 bonus; Armor; Book of Exalted Deeds; Supplementals (3.5); 
Unholy; -; +2 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Unholy surge; -; +1 bonus; Melee weapon; Magic Item Compendium; Supplementals (3.5); 
Vambraces of Evil’s Warding; -; 18,000 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Vassal Armor; -; 38,250 gp; Armor; Book of Exalted Deeds; Supplementals (3.5); 
Vest of Free Movement; 13rd; 12,000 gp; Torso; Magic Item Compendium; Supplementals (3.5); 
Vicious; -; +1 bonus; Melee weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Vorpal; -; +5 bonus; Melee weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Warhammer; -; 12 gp; -; Player's Handbook v.3.5; Core (3.5); 
Whip; -; 1 gp; -; Player's Handbook v.3.5; Core (3.5); 
Winged Shield; -; 17,257 gp; Shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Winged Vest; 13rd; 12,000 gp; Torso; Magic Item Compendium; Supplementals (3.5); 
Wounding; -; +2 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Zaethwar, the Sinflayer; -; 134,025 gp; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
