. Class       17

/ General class proficiency  
. Arms         2
. Unarmed      2
. Defense      2
. Health       2
. Stealth      2
. Thievery     2
. Faith        2
. Language     2

/ Magic aptitude
. Abjuration   3
. Alteration   2
. Conjuration  2
. Divination   2
. Empathic     2
. Enchantment  2
. Evocation    2
. Hypnotic     2
. Illusion     2
. Invocation   2
. MetaMagic    2
. Necromantic  2
. Spiritual    2

/ Attribute priority for this class (1 is most important)
. Str 4
. Dex 1
. Agi 1
. Con 1
. Int 1
. Wis 1
. Dis 1
. Cha 1

/              |-----------------|---------------------------|----------
/              |   U D   S T F   | MAGIC CATEGORY ABILITIES  |PRIORITIES
/              | A N F H T H A L | ------------------------- |----------
/--------------| R A N E L V I A | A A C D E E E H I I M N S | SDACIWDC
/  C L A S S   | M R S A T R T N | B L O I M N V Y L N T E P | TEGONIIH
/--------------| S M E L H Y H G | J T N V P C O P L V A C I | RXINTSSA

assassin         4 4 4 3 5 4 1 3   - - - - - - - - - - - - -   43182756
barbarian        5 4 4 3 3 1 1 1   - - - - - - - - - - - - -   14326587
bard             4 3 4 4 4 3 1 5   3 1 2 3 3 2 2 3 3 1 - - 1   41763582
cleric           4 3 4 5 2 1 5 5   3 3 1 2 2 - 2 2 - 2 - 4 5   25764138
druid            4 3 4 5 3 1 2 4   2 4 - 2 2 - 4 2 - 1 - 3 -   43867152
fighter          5 3 5 4 2 1 1 1   - - - - - - - - - - - - -   14325768
healer           3 2 3 5 2 1 3 4   2 1 1 - 4 - - 1 - - - 1 -   75812634
illusionist      2 2 2 1 2 1 1 5   1 3 3 2 1 - 1 5 5 - 1 - -   82541736
jedi             4 3 5 2 4 1 4 2   - - - - - - - - - 1 - 1 2   45376218
mage             2 2 2 1 2 1 1 5   4 5 5 2 - 4 2 1 3 5 2 1 -   63741528
metallist        4 3 4 3 2 1 1 4   2 3 3 1 - 4 1 1 - 2 4 - -   23561847
monk             4 5 5 4 5 1 4 4   - - - - - - - - - - - - -   53267418
ninja            5 4 4 3 5 3 1 2   1 2 - - - 1 - 2 3 - - 2 -   64153728
paladin          5 3 5 5 2 1 4 1   2 - - 1 2 1 - - - - - 3 3   25847361
ranger           5 4 5 5 5 1 1 1   2 - - 1 2 1 2 - - - - 1 1   16423857
rogue            4 4 5 5 4 4 1 1   - - - - - - - - - - - - -   13245786
rune-weaver      2 2 2 2 2 1 1 5   5 4 3 3 - 5 2 - 1 1 3 - -   81642537
samurai          5 3 4 2 4 1 1 2   - - - - - - - - - - - - -   24357618
seer             3 3 4 3 2 1 4 5   - - - 5 4 - - 2 - - - - 2   67853421
skinchanger      4 5 4 4 4 1 1 1   1 1 - - 1 - 2 1 - - - 1 -   35426718
sorcerer
thief            3 3 3 2 5 5 1 4   - - - - - - - - - - - - -   41263587
warlock
wizard

===

/ http://dndtools.eu/classes/

Abjurant Champion; Complete Mage
Maquar Crusader; Shining South
Marshal; Miniatures Handbook
Martyred Champion of Ilmater; Player's Guide to Faerûn
Master Alchemist; Magic of Faerûn
Master Inquisitive; Eberron Campaign Setting
Master of Chains; Sword and Fist: A Guidebook to Monks and Fighters
Master of Flies; Savage Species
Master of Many Forms; Complete Adventurer
Master of Masks; Complete Scoundrel
Master of Nine; Tome of Battle: The Book of Nine Swords
Master of Radiance; Libris Mortis: The Book of Undead
Master of Shadow; Tome of Magic
Master of Shrouds; Complete Divine
Master of Shrouds; Libris Mortis: The Book of Undead
Master of Shrouds; Defenders of the Faith: A Guidebook to Clerics and Paladins
Master of the Unseen Hand; Complete Warrior
Master of the Yuirwood; Unapproachable East
Master of Vipers; Serpent Kingdoms
Master Samurai; Sword and Fist: A Guidebook to Monks and Fighters
Master Specialist; Complete Mage
Master Thrower; Complete Warrior
Master Transmogrifist; Complete Arcane
Master Vampire; Libris Mortis: The Book of Undead
Medani Prophet; Dragonmarked
Menacing Brute; Races of Destiny
Merchant Prince; Power of Faerûn
Metamind; Expanded Psionics Handbook
Mindbender; Complete Arcane
Mindbender; Tome and Blood: A Guidebook to Wizards and Sorcerers
Mindspy; Complete Warrior
Mirumoto Niten Master; Oriental Adventures
Monk; Player's Handbook v.3.5
Monk; Eberron Campaign Setting
Monk; Forgotten Realms Campaign Setting
Monk of the Enabled Hand; Dragon Compendium
Monk of the Long Death; Player's Guide to Faerûn
Monk Variant; Unearthed Arcana
Monk Variant: Fighting Styles; Unearthed Arcana
Moon Guardian; Complete Divine
Moonsea Skysentinel; Champions of Valor
Moonspeaker; Races of Eberron
Moonstar Agent; City of Splendors: Waterdeep
Morninglord of Lathander; Player's Guide to Faerûn
Mortal Hunter; Book of Vile Darkness
Moto Avenger; Oriental Adventures
Mountebank; Complete Scoundrel
Mountebank; Dragon Compendium
Mystic; Dragonlance Campaign Setting
Mystic Fire Knight (Paladin); Champions of Valor
Mystic Theurge; Dungeon Master's Guide v.3.5
Mystic Wanderer; Magic of Faerûn
Mythic Exemplar; Complete Champion
Naga Overlord; Serpent Kingdoms
Nar Demonbinder; Unapproachable East
Nature's Warrior; Complete Warrior
Necrocarnate; Magic of Incarnum
Necromancer Variant; Unearthed Arcana
Nentyar Hunter; Unapproachable East
Night Mask Deathbringer; Champions of Ruin
Nightcloak; Complete Divine
Nightcloak; Faiths & Pantheons
Nightmare Spinner; Complete Mage
Nightsong Enforcer; Complete Adventurer
Nightsong Infiltrator; Complete Adventurer
Ninja; Complete Adventurer
Ninja of the Crescent Moon; Sword and Fist: A Guidebook to Monks and Fighters
Ninja Spy; Oriental Adventures
Noble; Dragonlance Campaign Setting
Noble Heart (Paladin); Champions of Valor
Noctumancer; Tome of Magic
Nosomatic Chirurgeon; Dragonmarked
Occult Slayer; Complete Warrior
Ocular Adept; Faiths & Pantheons
Olin Gisir; Lost Empires of Faerûn
Ollam; Complete Adventurer
Oozemaster; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers
Orc Scout; Silver Marches
Orc Warlord; Races of Faerûn
Ordained Champion; Complete Champion
Order of the Bow Initiate; Complete Warrior
Order of the Bow Initiate; Sword and Fist: A Guidebook to Monks and Fighters
Osteomancer; Dragon Compendium
Outcast Champion; Races of Destiny
Outlaw of the Crimson Road; Song and Silence: A Guidebook to Bards and Rogues
Pact-bound Adept; Dragon Magic
Paladin; Player's Handbook v.3.5
Paladin; Eberron Campaign Setting
Paladin; Sandstorm
Paladin; Forgotten Realms Campaign Setting
Paladin of Freedom; Unearthed Arcana
Paladin of Slaughter; Unearthed Arcana
Paladin of Tyranny; Unearthed Arcana
Paladin Variant; Complete Warrior
Paladin Variant; Unearthed Arcana
Pale Master; Libris Mortis: The Book of Undead
Pale Master; Tome and Blood: A Guidebook to Wizards and Sorcerers
Paragnostic Apostle; Complete Champion
Paragnostic Initiate; Complete Champion
Peerless Archer; Silver Marches
Peregrine Runner; Races of Stone
Perfect Wight; Epic Level Handbook
Phoenix Disciple (Monk); Champions of Valor
Pious Templar; Complete Divine
Pixie; Savage Species
Planar Champion; Manual of the Planes
Planar Ranger; Unearthed Arcana
Planar Shepherd; Faiths of Eberron
Planeshifter; Manual of the Planes
Platinum Knight; Draconomicon
Prestige Bard; Unearthed Arcana
Prestige Paladin; Unearthed Arcana
Prestige Ranger; Unearthed Arcana
Primal Scholar; Secrets of Xen'drik
Prime Underdark Guide; Underdark
Primeval; Frostburn
Prophet of Erathaoi; Book of Exalted Deeds
Psibond Agent; Complete Scoundrel
Psion; Expanded Psionics Handbook
Psion Uncarnate; Expanded Psionics Handbook
Psionic Artificer; Magic of Eberron
Psychic Theurge; Web
Psychic Warrior; Expanded Psionics Handbook
Purifier of the Hallowed Doctrine; Heroes of Horror
Purple Dragon Knight; Player's Guide to Faerûn
Purple Dragon Knight; Complete Warrior
Purple Dragon Knight; Forgotten Realms Campaign Setting
Purple Staff (Cleric); Champions of Valor
Pyrokineticist; Expanded Psionics Handbook
Quori Mindhunter; Magic of Eberron
Quori Nightmare; Races of Eberron
Radiant Servant of Pelor; Complete Divine
Rage Mage; Complete Warrior
Rainbow Servant; Complete Divine
Ranger; Player's Handbook v.3.5
Ranger; Eberron Campaign Setting
Ranger; Sandstorm
Ranger; Forgotten Realms Campaign Setting
Ranger Variant; Complete Warrior
Ranger Variant; Unearthed Arcana
Raumathari Battlemage; Unapproachable East
Ravager; Complete Warrior
Ravager; Sword and Fist: A Guidebook to Monks and Fighters
Reachrunner; Races of Eberron
Reaping Mauler; Complete Warrior
Recaster; Races of Eberron
Red Avenger; Sword and Fist: A Guidebook to Monks and Fighters
Red Falcon (Paladin); Champions of Valor
Red Wizard; Dungeon Master's Guide v.3.5
Red Wizard; Forgotten Realms Campaign Setting
Reforged; Races of Eberron
Renegade Mastermaker; Magic of Eberron
Revenant Blade; Player's Guide to Eberron
Righteous Zealot; Dragonlance Campaign Setting
Rimefire Witch; Frostburn
Risen Martyr; Book of Exalted Deeds
Rogue; Player's Handbook v.3.5
Rogue; Eberron Campaign Setting
Rogue; Forgotten Realms Campaign Setting
Rogue Variant; Unearthed Arcana
Ronin; Complete Warrior
Royal Explorer; Song and Silence: A Guidebook to Bards and Rogues
Ruathar; Races of the Wild
Ruby Knight Vindicator; Tome of Battle: The Book of Nine Swords
Ruby Rose Knight (Paladin); Champions of Valor
Runecaster; Player's Guide to Faerûn
Runecaster; Forgotten Realms Campaign Setting
Runescarred Berserker; Unapproachable East
Runesmith; Races of Stone
Sacred Exorcist; Complete Divine
Sacred Exorcist; Defenders of the Faith: A Guidebook to Clerics and Paladins
Sacred Fist; Complete Divine
Sacred Fist; Defenders of the Faith: A Guidebook to Clerics and Paladins
Sacred Purifier; Libris Mortis: The Book of Undead
Sacred Warder of Bahamut; Draconomicon
Samurai; Complete Warrior
Samurai; Oriental Adventures
Sanctified Mind; Lords of Madness
Sanctified One; Complete Champion
Sand Shaper; Sandstorm
Sapphire Hierarch; Magic of Incarnum
Savage Bard; Unearthed Arcana
Savant; Dragon Compendium
Savant Aboleth; Lords of Madness
Scaled Horror; Savage Species
Scar Enforcer; Races of Destiny
Scarlet Corsair; Stormwrack
Scion of Dantalion; Tome of Magic
Scion of Tem-et-nu; Sandstorm
Scorpion Heritor; Sandstorm
Scorpion Wraith; Secrets of Xen'drik
Scourge Maiden; Shining South
Scout; Complete Adventurer
Sea Mother Whip; Underdark
Sea Witch; Stormwrack
Seeker of the Misty Isle; Complete Divine
Seeker of the Song; Complete Arcane
Sentinel of Bharrai; Book of Exalted Deeds
Serene Guardian; The Shattered Gates of Slaughtergarde
Serpent Slayer; Serpent Kingdoms
Sha'ir; Dragon Compendium
Shaaryan Hunter; Player's Guide to Faerûn
Shade Hunter; Champions of Ruin
Shadow Adept; Player's Guide to Faerûn
Shadow Adept; Forgotten Realms Campaign Setting
Shadow Hunter; Dragonmarked
Shadow Scout; Oriental Adventures
Shadow Sentinel; Races of Destiny
Shadow Sun Ninja; Tome of Battle: The Book of Nine Swords
Shadow Sword (Ranger); Champions of Valor
Shadow Thief of Amn; Player's Guide to Faerûn
Shadowbane Inquisitor; Complete Adventurer
Shadowbane Stalker; Complete Adventurer
Shadowblade; Tome of Magic
Shadowcaster; Tome of Magic
Shadowcraft Mage; Races of Stone
Shadowcrafter; Underdark
Shadowdancer; Dungeon Master's Guide v.3.5
Shadowmind; Complete Adventurer
Shadowsmith; Tome of Magic
Shadowspy; Complete Champion
Shadowstriker; Complete Champion
Shaman; Oriental Adventures
Shaper of Form; Dragon Compendium
Shapeshifter; Oriental Adventures
Sharn Skymage; Sharn: City of Towers
Shiba Protector; Oriental Adventures
Shifter; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers
Shining Blade of Heironeous; Complete Divine
Shintao Monk; Oriental Adventures
Shooting Star (Ranger); Champions of Valor
Shou Disciple; Unapproachable East
Shugenja; Complete Divine
Shugenja; Oriental Adventures
Silver Key; Dragonmarked
Silver Pyromancer; Five Nations
Silverstar; Faiths & Pantheons
Singer of Concordance; Races of the Dragon
Singh Rager; Oriental Adventures
Siren; Savage Species
Skullclan Hunter; Miniatures Handbook
Skylord; Book of Exalted Deeds
Skypledged; Races of the Wild
Slaad Brooder; Savage Species
Slayer of Domiel; Book of Exalted Deeds
Slime Lord; Player's Guide to Faerûn
Sohei; Oriental Adventures
Solar Channeler; The Shattered Gates of Slaughtergarde
Soldier of Light; Deities and Demigods
Sorcerer; Player's Handbook v.3.5
Sorcerer; Eberron Campaign Setting
Sorcerer; Sandstorm
Sorcerer; Forgotten Realms Campaign Setting
Sorcerer/Wizard Variant; Unearthed Arcana
Soul Eater; Book of Vile Darkness
Soulborn; Magic of Incarnum
Soulbow; Complete Psionic
Soulcaster; Magic of Incarnum
Soulguard; Fiendish Codex II: Tyrants of the Nine Hells
Soulknife; Expanded Psionics Handbook
Sovereign Speaker; Faiths of Eberron
Spell Scion; Unearthed Arcana
Spellcarved Soldier; Races of Eberron
Spellcaster; Unearthed Arcana
Spelldancer; Magic of Faerûn
Spellfire Channeler; Magic of Faerûn
Spellguard of Silverymoon; Player's Guide to Faerûn
Spellsinger; Races of Faerûn
Spellsword; Complete Warrior
Spellsword; Tome and Blood: A Guidebook to Wizards and Sorcerers
Spellthief; Complete Adventurer
Spellwarp Sniper; Complete Scoundrel
Spinemeld Warrior; Magic of Incarnum
Spirit Shaman; Complete Divine
Spur Lord; Lords of Darkness
Spymaster; Complete Adventurer
Spymaster; Song and Silence: A Guidebook to Bards and Rogues
Squire of Legend; Complete Champion
Stalker of Kharash; Book of Exalted Deeds
Steel Legionnaire; Dragonlance Campaign Setting
Stoneblessed; Races of Stone
Stonedeath Assassin; Races of Stone
Stonelord; Complete Warrior
Stonespeaker Guardian; Races of Stone
Storm Disciple; Complete Psionic
Storm Sentry; Dragonmarked
Stormcaster; Stormwrack
Stormlord; Complete Divine
Stormlord; Faiths & Pantheons
Stormsinger; Frostburn
Stormtalon; Races of the Wild
Streetfighter; Complete Adventurer
Strifeleader; Faiths & Pantheons
Sublime Chord; Complete Arcane
Suel Arcanamach; Complete Arcane
Sun Soul Monk; City of Splendors: Waterdeep
Sunmaster; Lost Empires of Faerûn
Survivor; Savage Species
Swanmay; Book of Exalted Deeds
Swashbuckler; Complete Warrior
Swift Scion; Unearthed Arcana
Swift Wing; Dragon Magic
Sword Dancer; Faiths & Pantheons
Sword of Righteousness; Book of Exalted Deeds
Swordsage; Tome of Battle: The Book of Nine Swords
Sybil; Savage Species
Tactical Soldier; Miniatures Handbook
Tainted Scholar; Heroes of Horror
Tainted Sorcerer; Unearthed Arcana
Tainted Warrior; Unearthed Arcana
Talon of Tiamat; Draconomicon
Talontar Blightlord; Unapproachable East
Tamer of Beasts; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers
Tattooed Monk; Complete Warrior
Tattooed Monk; Oriental Adventures
Techsmith; Faiths & Pantheons
Telflammar Shadowlord; Unapproachable East
Tempest; Complete Adventurer
Tempest; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers
Templar; Defenders of the Faith: A Guidebook to Clerics and Paladins
Temple Raider of Olidammara; Complete Divine
Temple Raider of Olidammara; Song and Silence: A Guidebook to Bards and Rogues
Tenebrous Apostate; Tome of Magic
Thaumaturgist; Dungeon Master's Guide v.3.5
Thayan Gladiator; Champions of Ruin
Thayan Knight; Complete Warrior
Thayan Knight; Lords of Darkness
Thayan Slaver; Unapproachable East
Thief of Life; Faiths of Eberron
Thief-acrobat; Complete Adventurer
Thief-acrobat; Song and Silence: A Guidebook to Bards and Rogues
Thrall of Demogorgon; Book of Vile Darkness
Thrall of Graz'zt; Book of Vile Darkness
Thrall of Juiblex; Book of Vile Darkness
Thrall of Orcus; Book of Vile Darkness
Thrallherd; Expanded Psionics Handbook
Thri-kreen Racial Class; Complete Psionic
Thug; Unearthed Arcana
Thunder Guide; Explorer's Handbook
Tomb Warden; Libris Mortis: The Book of Undead
Topaz Guardian; Lords of Madness
Totem Barbarian; Unearthed Arcana
Totem Rager; Magic of Incarnum
Totemist; Magic of Incarnum
Transmuter Variant; Unearthed Arcana
Trapsmith; Dungeonscape
Triadic Knight; Champions of Valor
Tribal Protector; Sword and Fist: A Guidebook to Monks and Fighters
Troubadour of Stars; Book of Exalted Deeds
True Necromancer; Libris Mortis: The Book of Undead
True Necromancer; Tome and Blood: A Guidebook to Wizards and Sorcerers
Truenamer; Tome of Magic
Twisted Lord; The Shattered Gates of Slaughtergarde
Ultimate Magus; Complete Mage
Umbral Disciple; Magic of Incarnum
Unbound Scroll; Dragonmarked
Uncanny Trickster; Complete Scoundrel
Unholy Ravager of Tiamat; Draconomicon
Union Sentinel; Epic Level Handbook
Unseen Seer; Complete Mage
Ur-priest; Complete Divine
Ur-priest; Book of Vile Darkness
Urban Adept; Sharn: City of Towers
Urban Druid; Dragon Compendium
Urban Ranger; Unearthed Arcana
Urban Savant; CityScape
Urban Soul; Races of Destiny
Vadalis Beastkeeper; Dragonmarked
Vassal of Bahamut; Book of Exalted Deeds
Vengeance Knight; Champions of Ruin
Verdant Lord; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers
Vermin Keeper; Underdark
Vermin Lord; Book of Vile Darkness
Vigilant Eye of Helm (Paladin); Champions of Valor
Vigilant Sentinel of Aerenal; Magic of Eberron
Vigilante; Complete Adventurer
Vigilante; Song and Silence: A Guidebook to Bards and Rogues
Virtuoso; Complete Adventurer
Virtuoso; Song and Silence: A Guidebook to Bards and Rogues
Visionary Seeker; Planar Handbook
Void Disciple; Complete Divine
Void Disciple; Oriental Adventures
Walker In the Waste; Sandstorm
War Chanter; Complete Warrior
War Hulk; Miniatures Handbook
War Mind; Expanded Psionics Handbook
War Weaver; Heroes of Battle
War Wizard of Cormyr; Magic of Faerûn
Warblade; Tome of Battle: The Book of Nine Swords
Warchief; Miniatures Handbook
Warforged Juggernaut; Eberron Campaign Setting
Warlock; Complete Arcane
Warmage; Complete Arcane
Warmage; Miniatures Handbook
Warmaster; Sword and Fist: A Guidebook to Monks and Fighters
Warpriest; Complete Divine
Warpriest; Defenders of the Faith: A Guidebook to Clerics and Paladins
Warrior; Dungeon Master's Guide v.3.5
Warrior; Unearthed Arcana
Warrior; Dragonlance Campaign Setting
Warrior of Darkness; Book of Vile Darkness
Warrior Skald; Races of Faerûn
Warshaper; Complete Warrior
Warsling Sniper; Races of Faerûn
Wary Swordknight (Paladin); Champions of Valor
Watch Detective; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers
Wavekeeper; Stormwrack
Waverider; Savage Species
Waveservant; Faiths & Pantheons
Wayfarer Guide; Complete Arcane
Wayfarer Guide; Tome and Blood: A Guidebook to Wizards and Sorcerers
Weapon Master; Sword and Fist: A Guidebook to Monks and Fighters
Weapon Master (Kensei); Oriental Adventures
Wearer of Purple; Dragons of Faerûn
Wearer of Purple; Faiths & Pantheons
Weretouched Master; Eberron Campaign Setting
Whisperknife; Races of the Wild
Wild Mage; Complete Arcane
Wild Plains Outrider; Complete Adventurer
Wild Scout; Silver Marches
Wild Soul; Complete Mage
Wilder; Expanded Psionics Handbook
Wilderness Rogue; Unearthed Arcana
Wildrunner; Races of the Wild
Windrider; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers
Windwalker; Faiths & Pantheons
Windwright Captain; Explorer's Handbook
Winterhaunt of Iborighu; Frostburn
Witch Hunter; Oriental Adventures
Witch Slayer; Tome of Magic
Witchborn Binder; Magic of Incarnum
Wizard; Player's Handbook v.3.5
Wizard; Eberron Campaign Setting
Wizard; Sandstorm
Wizard; Forgotten Realms Campaign Setting
Wizard of High Sorcery; Dragonlance Campaign Setting
Wizard Variant; Unearthed Arcana
Wonderworker; Book of Exalted Deeds
Wu Jen; Complete Arcane
Wu Jen; Oriental Adventures
Wyrm Wizard; Dragon Magic
Yakuza; Oriental Adventures
Yathchol Webrider; Underdark
Yathrinshee; Player's Guide to Faerûn
Yuan-ti Cultist; Savage Species
Zerth Cenobite; Complete Psionic
Zhentarim Skymage; Lords of Darkness
Zhentarim Spy; Player's Guide to Faerûn
