/ http://www.jrrvf.com/hisweloke/sindar/online/sindar/dict-sd-en.html

.Sindarin, Type, Definition

a; conj.; and
eregdos; n.; holly, holly-tree
eregion; der. pl. of; ereg LotR, UT
ereid; n. (pl); plural of mountain
eria; inf.; erio N. pa. t. erias N. (oronte N.) v. to rise
erias; inf. (pl); erio N. pa. t. erias N. (oronte N.) v. to rise
erib; adj. (pl); plural of isolated, lonely
erig; n. (pl); plural of holly-tree, thorn
erin; prep.; on the
erio; inf. (pl); erio N. pa. t. erias N. (oronte N.) v. to rise
ernil; n.; prince
ernin; adj. (pl); plural of (?) royal Arnen, Lonnath-Ernin 
erphin; n. (pl); plural of a noble
ertha; v.; to unite 
erthad; ger.; of ertha-, union, uniting 
eru; n.; waste, desert
erui; adj.; 1. single, alone ○ 2. by ext., first (incorrect use by the Gondorians)
eryd; n. (pl); plural of mountain
eryn; n.; wood, "trees"
esgal; n.; veil, screen, cover that hides
esgar; n.; shore
esgeri; inf. (pl); esgeri N. v. to cut round, to amputate
esta; v.; to name 
estathar; v.; fut. 3rd pl. of esta-, (they) will name
estel; n.; hope, trust, a temper of mind, steady fixed in purpose, and difficult to dissuade and unlikely to fall into despair or abandon its purpose
estent; adj.; (very?) short
estolad; n.; encampment
ethir; n.; spy
ethraid; n. (pl); plural of (river-)crossing, ford, way
ethuil; n.; season of spring
evair; n. (pl); plural of 1. refuser ○ 2. esp. in the pl., the Avari, Elves who refused the invitation of the Valar
faeg; adj.; mean, poor, bad
fael; n.; gleaming brilliance (of the sun) 
faen; adj.; radiant, white
faer; n.; spirit
fain; n.; and adj. 1. white ○ 2. as a noun, cloud
fair; n.; right (hand)
falas; n.; 1. beach, wave-beaten shore, line of surf ○ 2. as a proper noun, the western coast of Beleriand
falathren; n.; and adj. 1. of the shore ○ 2. as a noun, Shore-language (one of the names for Common Speech)
falathrim; n.; class pl. of falas, people of the Falas
falch; n.; deep cleft, ravine Echor 
falf; n.; foam, breaker
faltha; inf.; faltho N. v. to foam
faltho; inf. (pl); faltho N. v. to foam
fang; n.; beard
fanui; adj.; cloudy
far; adj.; or adv. sufficient, enough, quite
fara; inf.; faro N. v. to hunt
farad; ger.; of fara-, hunting 
faradrim; n.; class pl. of feredir, hunters
faras; n.; abst. of fara-, hunting
farn; adj.; or adv. enough
faro; inf. (pl); faro N. v. to hunt
faron; n.; m. hunter 
faroth; n.; (?) hunter, (?) group of hunters 
fast; n.; shaggy hair
faug; adj.; thirsty
faun; n.; cloud
faur; n.; beach, shore
fein; n. (pl); and adj. 1. white ○ 2. as a noun, cloud
feira; v.; to suffice
fela; n.; cave
felais; n. (pl); plural of 1. beach, wave-beaten shore, line of surf ○ 2. as a proper noun, the western coast of Beleriand
feles; n. (pl); plural of 1. beach, wave-beaten shore, line of surf ○ 2. as a proper noun, the western coast of Beleriand
fen; n.; door, threshold
fend; n. (pl); door, threshold
fenn; n. (pl); door, threshold
fennas; n.; abst. of fen, doorway, gateway
feredir; n.; hunter
ferin; n. (pl); plural of beech-tree
fern; n.; and adj. 1. dead (of mortals) ○ 2. as a noun, dead person
fileg; n.; small bird
fili; n. (pl); plural of cave
filig; n. (pl); plural of small bird
filigod; n.; sing. of fileg, small bird
fim; adj.; slim, slender ndex
find; alternate; fîn
findel; n. (pl); (braided) hair
fing; n.; lock of hair "Leaflock" 
finn; alternate; fîn
finnel; n.; (braided) hair
firen; adj.; human
firiath; n.; coll. of fair I, mortals, human beings
firiel; n. (pl); f. mortal maid
firieth; n.; f. mortal woman
firion; n.; m. mortal man
firith; n.; season of fading
firn; n. (pl); plural of and adj. 1. dead (of mortals) ○ 2. as a noun, dead person
fliw; n. (pl); sickness
floss; n. (pl); whisper or rustling sound
flâd; n.; skin 
foeg; adj. (pl); mean, poor, bad
foen; adj. (pl); radiant, white
forgam; adj.; right-handed
forn; n.; right, north
forod; n.; north
forodren; adj.; northern
forodrim; n.; class pl. of forod, Northmen
forodwaith; n.; class pl. of forod, 1. Northmen ○ 2. by ext., the lands of the North
forodweith; n. (pl); class pl. of forod, 1. Northmen ○ 2. by ext., the lands of the North
forven; n.; north
forvo; n.; 1. right hand ○ 2. by ext., right side
fui; n.; (unknown meaning) 'Ngorthrim 
fuia; inf.; fuio N. v. to feel disgust at, abhor
fuin; n.; night, dead of night, gloom, darkness
fuio; inf. (pl); fuio N. v. to feel disgust at, abhor
fuir; adj.; north
fân; n.; 1. veil ○ 2. by ext., cloud (applied to clouds, floating as veils over the blue sky or the sun or moon, or resting on hills)
fêr; n.; beech-tree
fíreb; adj.; mortal
fírib; adj. (pl); plural of mortal
fíriel; n.; f. mortal maid
gad; inf.; gedi N. v. to catch
gador; n.; prison, dungeon
gadr; n. (pl); prison, dungeon
gae; n.; dread
gaear; n.; sea
gaearon; n.; augm. of gaear, great sea, ocean
gael; adj.; pale, glimmering
gaer; n.; sea
gaeron; n. (pl); augm. of gaear, great sea, ocean
gaeruil; n.; seaweed 
gail; n.; bright light
gal; pref.; light etc.
gala; inf.; galo N. v. to grow
galad; n.; light, radiance, glittering, reflection (from jewels, glass or polished metal, or water)
galadh; n.; tree
galadhad; n.; dual pl. of galadh, the Two Trees of Valinor LotR/D
galadhon; der. pl. of; galadh Galadhon LotR/F, 
galadhremmen; adj.; tree-woven, tree-tangled
galadhremmin; adj. (pl); plural of tree-woven, tree-tangled
galadhrim; n.; class pl. of galadh, Elves of Lothlórien
galas; n.; abst. of gala-, growth, plant
galenas; n.; pipe-weed (leaf) or "westmansweed", a variety of Nicotiana
galo; inf. (pl); galo N. v. to grow
galu; n.; (?) blessings, (?) blessedness, (?) good fortune (meaning not entirely clear)
galvorn; n.; a black metal devised by the dark elf Eol
galw; n. (pl); (?) blessings, (?) blessedness, (?) good fortune (meaning not entirely clear)
gammas; n.; abst. of gamp, s-sign (special sign used to mark a final -s in Tengwar)
gamp; n.; hook, claw, crook
gandel; n. (pl); harp
ganna; inf.; ganno N. v. to play a harp
gannada; inf.; gannado N. v. to play a harp
gannado; inf. (pl); gannado N. v. to play a harp
gannel; n.; harp
ganno; inf. (pl); ganno N. v. to play a harp
gar; inf.; garo N. v. to hold, have
garaf; n.; wolf
gardh; n.; 1. bounded or defined region ○ 2. by ext., world
garn; n.; own, property
garo; inf. (pl); garo N. v. to hold, have
garth; n.; fort, fortress
gas; n.; hole, gap
gasdil; n.; "stopgap", name of a diacritic sign used to indicate that g had been lenited to zero
gath; n.; cavern
gathrod; n.; cave
gaud; n.; device, contrivance, machine
gaul; n.; wolf-howl
gaur; n.; werewolf
gaurhoth; n.; class pl. of gaur, group of werewolves
gaurwaith; n.; class pl. of gaur, wolf-men
gaw; n.; void
gawad; ger.; of gaw-, howling
gedi; inf. (pl); gedi N. v. to catch
geil; n.; star, bright spark
geleidh; n. (pl); plural of "Deep Elf" or "Gnome", one of the Wise Folk
gelir; n.; merry, happy, gay person
gell; n.; joy, triumph
gellam; n.; jubilation
gellui; adj.; triumphant
gelydh; n. (pl); plural of "Deep Elf" or "Gnome", one of the Wise Folk
gem; adj.; sickly
gemb; adj. (pl); sickly
genedia; v.; to reckon 
genediad; ger.; of genedia-, 1. reckoning ○ 2. by ext., calendar
gerin; v.; pres. 1st of gar-, I hold, I have
gerir; soft mut. of; cerir
gern; adj.; worn, old, decripit (used of things only)
gildin; n.; silver spark
gilgalad; n.; starlight
giliath; n.; coll. of gil/geil, all the host of stars
gilion; der. pl. of; gil LotR/D
gir; inf.; giri N. v. to shudder
giri; inf. (pl); giri N. v. to shudder
girith; n.; shuddering, horror
girithron; n.; december (month)
glad; n.; wood 
gladh; v.; to laugh 
glaer; n.; long lay, narrative poem
glaew; n.; salve
glam; n.; 1. barbarous speech, shouting, confused noise ○ 2. din, uproar, the confused yelling and bellowing of beasts ○ 3. by ext., as a coll. noun, any body of Orcs
glamb; n. (pl); 1. barbarous speech, shouting, confused noise ○ 2. din, uproar, the confused yelling and bellowing of beasts ○ 3. by ext., as a coll. noun, any body of Orcs
glambr; n. (pl); echo
glamhoth; n.; class pl. of glam, barbaric host of Orcs
glamm; n. (pl); 1. barbarous speech, shouting, confused noise ○ 2. din, uproar, the confused yelling and bellowing of beasts ○ 3. by ext., as a coll. noun, any body of Orcs
glamog; n.; sing. of glam, an Orc, "a yelling one"
glamor; n.; echo
glamren; adj.; echoing
gland; n.; boundary Glanhír X/ND1
glandagol; n.; boundary mark
glann; n. (pl); boundary Glanhír X/ND1
glas; n. (pl); joy
glass; n.; joy
glaur; n.; golden light (of the golden tree Laurelin)
glavra; inf.; glavro N. v. to babble
glavro; inf. (pl); glavro N. v. to babble
glavrol; part. of; glavra-, babbling
glaw; n.; radiance
glawar; n.; sunlight, radiance (of the golden tree Laurelin)
gleina; v.; to bound, enclose, limit
gling; v.; to hang, dangle
glinnel; n.; Elf, one of the Teleri
glinnil; n. (pl); plural of Elf, one of the Teleri
glintha; v.; to glance at
glir; inf.; gliri N. v. to sing, trill, to recite a poem
gliri; inf. (pl); gliri N. v. to sing, trill, to recite a poem
glithui; adj.; (unknown meaning)
glor; n. (pl); golden light (of the golden tree Laurelin)
gloss; adj.; snow-white, dazzling-white
glân; n.; hem, border (of textile and other hand-made things)
glî; n.; honey
glîn; n.; gleam, glint (usually of fine slender but bright shafts of light, particularly applied to light of eyes)
glînn; n. (pl); gleam, glint (usually of fine slender but bright shafts of light, particularly applied to light of eyes)
glîr; n.; song, poem, lay
glûdh; n.; soap
go; pref.; together
gobel; n.; walled house or village, town
gobennas; n.; history
gobennathren; adj.; historical
godrebh; adv. (pl); through together
godref; adv.; through together
goe; n.; terror, great fear
goeol; adj.; dreadful, terrifying
gohena; v.; to forgive (with person forgiven as object?)
gohenam; v.; pres. 1st pl. of gohena-, we forgive
golf; n.; branch
goll; adj.; wise
gollor; n.; magician
golodh; n.; "Deep Elf" or "Gnome", one of the Wise Folk
golodhrim; n.; class pl. of golodh, Deep Elves, Gnomes
golodhvir; n. (pl); Silmaril
goloth; n.; inflorescence, a head of small flowers
golovir; n.; Silmaril
golwen; adj.; wise, learned in deep arts
gonathra; v.; to entangle, enmesh
gonathras; n.; abst. of gonathra-, entanglement
gond; n.; great stone, rock
gondrafn; n.; hewn stone
gondram; n.; hewn stone
gondren; adj.; (made) of stone 
gonn; n. (pl); great stone, rock
gonod; v.; to count, count up, reckon, sum up
gorf; n.; impetus, vigour
gorgor; n.; extreme horror, terror, haunting fear
gorn; n.; valor PM/xii
gorog; n.; horror
goroth; n.; horror
gorth; n.; a dead person 'Ngorthrim gyrth 
gorthad; n.; barrow
gortheb; adj.; horrible
gorthrim; n.; class pl. of gorth II, the dead 'Ngorthrim 
gost; n.; dread
gosta; v.; to fear exceedingly
govad; v.; to meet govannen 
govannen; pp. of; govad-, met
gowest; n.; contract, compact, treaty
graug; n. (pl); a powerful, hostile and terrible creature, a demon
graw; n.; bear
groga; v.; to feel terror
grond; n.; club
groth; n.; 1. cave, tunnel, large excavation ○ 2. delving, underground dwelling
gruin; adj.; ruddy
gruitha; v.; to terrify
guin; n. (pl); plural of goose
guldur; n.; (dark) sorcery
guren; n.; my heart
gurth; n.; death
guruth; n.; death
guruthos; n.; the shadow of death, death-horror 
gwa; pref.; together (only in old compounds, the living form is go-)
gwachaedir; n.; seeing-stone, palantír 
gwador; n.; m. brother (especially used of those not brothers by blood, but sworn brothers or associates)
gwaeda; inf.; gwaedo N. v. to enfold
gwaedh; n.; bond, troth, compact, oath
gwaedo; inf. (pl); gwaedo N. v. to enfold
gwael; n.; gull
gwaen; adj.; stained 
gwaeren; adj.; windy
gwaeron; n.; march (month)
gwaew; n.; wind
gwahaedir; n. (pl); seeing-stone, palantír 
gwain; adj.; new (Narvinyë) LotR/D, 
gwaith; n.; 1. manhood ○ 2. by ext., man power, troop of able-bodied men, host, regiment, people ○ 3. by ext., region, wilderness
gwaloth; n.; blossom, collection of flowers
gwanath; n.; death (act of dying, not death as a state or abstract)
gwann; adj.; departed, dead
gwanna; inf.; gwanno N. v. to depart, die
gwanno; inf. (pl); gwanno N. v. to depart, die
gwanod; n.; tale, number
gwanu; n.; death (act of dying, not death as a state or abstract)
gwanunig; n.; sing. of gwanûn, a twin (one of a pair of twins)
gwanur; n.; 1. a pair of twins ○ 2. brother or kinsman, kinswoman
gwanw; n. (pl); death (act of dying, not death as a state or abstract)
gwanûn; n.; a pair of twins
gwarth; n.; betrayer
gwass; n.; stain
gwastar; n.; hummock
gwath; n.; 1. shade, shadow, dim light ○ 2. stain
gwatha; inf.; gwatho N. v. to soil, stain
gwathel; n.; f. sister, associate
gwatho; inf. (pl); gwatho N. v. to soil, stain
gwathra; v.; to overshadow, dim, veil, obscure
gwathren; adj.; shadowy, dim Wethrin 
gwathui; adj.; shadowy 
gwathuirim; n.; class pl. of gwathui, The Dunlendings or People of Dunland
gwaun; n.; goose
gwaur; adj.; soiled, dirty
gwedeir; n. (pl); plural of m. brother (especially used of those not brothers by blood, but sworn brothers or associates)
gwedh; n.; bond
gwedhant; n. (pl); bond
gwedhi; n. (pl); bond
gweith; n. (pl); 1. manhood ○ 2. by ext., man power, troop of able-bodied men, host, regiment, people ○ 3. by ext., region, wilderness
gwelu; n.; air (as substance)
gwelw; n. (pl); air (as substance)
gwelwen; n.; air, lower air (distinct from the upper air of the stars, or the outer)
gwend; n.; f. maiden
gweneth; n.; virginity
gwenn; n. (pl); bond
gwenyn; n.; pl. twins
gweria; inf.; gwerio N. v. to betray, cheat
gwerio; inf. (pl); gwerio N. v. to betray, cheat
gwest; n.; oath
gwesta; inf.; gwesto N. v. to swear
gwesto; inf. (pl); gwesto N. v. to swear
gwethil; n. (pl); plural of f. sister, associate
gwethion; der. pl. of; gwath 
gwethrin; adj. (pl); plural of shadowy, dim Wethrin 
gwilith; n.; air (as a region)
gwilwileth; n.; butterfly
gwing; n.; 1. spindrift, flying spray ○ 2. foam (properly a flying spume or spindrift blown off wavetops)
gwinig; n.; dim. 1. "litte baby" ○ 2. little finger (Elvish play-name used by and taught to children)
gwinion; der. pl. of; gwîn II LotR/Map, 26,17,112, 338, 
gwirith; n.; april (month)
gwoen; n. (pl); plural of goose
gwî; n.; net, web
gwîn; n.; wine, vine
gîl; n. (pl); plural of star, bright spark
gódhel; n.; "Deep Elf" or "Gnome", one of the Wise Folk
gódhellim; n.; class pl. of gódhel, "Deep Elves" or "Gnomes", the Wise Folk
gódhil; n. (pl); plural of "Deep Elf" or "Gnome", one of the Wise Folk
gûd; n.; foe 
gûl; n.; 1. magic lore, long study (being used mostly of secret knowledge, especially such as possessed by artificers who made wonderful things) ○ 2. by ext., perverted or evil knowledge, sorcery, necromancy
gûr; n.; death
gœlydh; n. (pl); plural of "Deep Elf" or "Gnome", one of the Wise Folk
gœlœidh; n. (pl); plural of "Deep Elf" or "Gnome", one of the Wise Folk
gœrthaid; n. (pl); plural of barrow
ha; pron.; 3rd it
hab; v.; to clothe
habad; n.; shoe
habar; soft mut. of; sabar
had; inf.; hedi N. pa. t. hant N. v. to hurl
hadhod; n.; Dwarf
hadhodrim; n.; class pl. of hadhod, the Dwarves (as a race)
hadlath; n.; sling
hador; n.; thrower (of spears and darts)
hadron; n.; m. thrower (of spears and darts)
hae; adj.; far, remote, distant 
haered; n.; remote distance, the remote 
haeron; adj.; far, remote, distant
haew; n.; custom, habit
haf; pa. t.; hamp N. (hafant N., †havant *S.) v. to sit
hafant; pa. t. (pl); hamp N. (hafant N., †havant *S.) v. to sit
haglath; n. (pl); sling
hain; pron. (pl); plural of 3rd it
hair; n.; and adj. left (hand)
hal; inf.; heli N. pa. t. haul N. v. to lift
half; n.; seashell
hall; adj.; veiled, hidden, shadowed, shady
haltha; v.; to screen
ham; n.; (?) chair
hamma; v.; to clothe
hammad; ger.; of hamma-, clothing
hamp; n.; garment
hana; pron. (pl); 3rd it
hanar; n.; m. brother
hand; adj.; intelligent
hann; adj. (pl); intelligent
hannas; n.; abst. of hand, understanding, intelligence
hant; inf. (pl); hedi N. pa. t. hant N. v. to hurl
harad; n.; south
haradren; adj.; southern
haradrim; n.; class pl. of harad, southerners, "Southrons"
hargam; n.; left-handed
harn; n.; helmet
harna; inf.; harno N. v. to wound
harno; inf. (pl); harno N. v. to wound
hartha; v.; to hope 
harthad; ger.; of hartha-, hope
haru; n.; wound
harvo; n.; 1. left hand ○ 2. by ext., left side
harw; n. (pl); wound
hast; n.; axe-stroke
hasta; inf.; hasto N. v. to hack through
hasto; inf. (pl); hasto N. v. to hack through
hathal; n. (pl); 1. broadsword-blade, axe-blade ○ 2. by ext., axe
hathel; n. (pl); 1. broadsword-blade, axe-blade ○ 2. by ext., axe
hathol; n.; 1. broadsword-blade, axe-blade ○ 2. by ext., axe
haudh; n.; (burial) mound, grave, tomb
haul; inf. (pl); heli N. pa. t. haul N. v. to lift
haust; n.; bed
havant; pa. t. (pl); hamp N. (hafant N., †havant *S.) v. to sit
hawn; n.; m. brother
he; pron.; 3rd f. she
heb; v.; to retain, keep, do not give away or release, keep hold of 
hebaid; n. (pl); plural of shoe
hebeid; n. (pl); plural of shoe
hebin; v.; pres. 1st of heb-, I keep, I have kept
hedi; inf. (pl); hedi N. pa. t. hant N. v. to hurl
hein; pron. (pl); plural of 3rd it
heir; n. (pl); and adj. left (hand)
helch; n.; bitter cold
heledh; n.; glass
heledir; n.; kingfisher (bird)
heledirn; n. (pl); kingfisher (bird)
heleg; n.; ice
heleth; n.; fur, fur-coat
helf; n.; fur
heli; inf. (pl); heli N. pa. t. haul N. v. to lift
hell; adj.; naked
heltha; v.; to strip
hen; n.; eye
hene; pron. (pl); 3rd f. she
heneb; adj.; of eye, eyed, having eyes "sharp-eyed", 
henia; inf.; henio N. v. to understand
heniad; ger.; of henia-, understanding, intelligence
henio; inf. (pl); henio N. v. to understand
henneth; n.; window
hent; n.; dual pl. of hen II, the two eyes (referring to one person's eyes)
herdir; n.; m. master 
heria; inf.; herio N. (hœrio N.) v. to begin suddenly and vigorously
herio; inf. (pl); herio N. (hœrio N.) v. to begin suddenly and vigorously
heron; n.; m. master
herth; n.; household, troop under a "hîr" (master, lord)
herven; n. (pl); m. husband
hervenn; n.; m. husband
herves; n. (pl); f. wife
hervess; n.; f. wife
heryn; n.; f. lady 
hethu; adj.; foggy, obscure, vague
hethw; adj. (pl); foggy, obscure, vague
hi; soft mut. of; si
him; adj.; cool
hin; soft mut. pl. of; sen
hiril; n.; f. lady
hirion; soft mut. of; sirion II LotR
hith; n. (pl); mist, fog
hithlain; n.; mist-thread (a substance used by the Elves of Lothlórien to make strong ropes)
hithu; n.; fog
hithui; n.; and adj. 1. foggy, misty ○ 2. as a noun, the month of november
hithw; n. (pl); fog
hniof; n. (pl); noose
ho; pron.; 3rd m. he
hobas; n.; abst. of hûb, harbourage
hon; pron. (pl); 3rd m. he
honeg; n.; m. dim. of hawn, 1. "litte brother" ○ 2. middle finger (Elvish play-name used by and taught to children)
hono; pron. (pl); 3rd m. he
horn; adj.; driven under compulsion, impelled
hortha; v.; to urge on, speed
host; n.; gross (144)
hoth; n.; host, crowd, horde (nearly always in a bad sense)
huin; pron. (pl); plural of 3rd m. he
hwand; n.; sponge, fungus
hwest; n.; puff, breath, breeze
hwind; adj.; twirling, whirling
hwinia; inf.; †hwinio *S. (chwinio N.) v. to twirl, whirl, eddy
hwinio; inf. (pl); †hwinio *S. (chwinio N.) v. to twirl, whirl, eddy
hwiniol; part. of; hwinia-, whirling, giddy, fantastic
hwîn; n.; giddiness, faintness
hyn; pron. (pl); plural of 3rd m. he
hâdh; n.; Arch., (?) cleaver
hâl; n.; fish
hên; n.; child (mostly used as a prefix in patronymics or metronymics)
hîl; n.; heir 
hîn; pron. (pl); plural of 3rd f. she
hîr; n.; m. master, lord
hîth; n.; mist, fog
hîw; adj.; sticky, viscous
hû; n.; dog
hûb; n.; haven, harbour, small land-locked bay
hûd; n.; assembly
hûl; n.; cry of encouragement in battle
hûn; n.; heart (physical)
hûr; n.; readiness for action, vigour, fiery spirit
hœrio; inf. (pl); herio N. (hœrio N.) v. to begin suddenly and vigorously
i; pron.; rel. 1. the ○ 2. who
ia; adv. (pl); ago
iach; n.; ford, crossing
iaeth; n.; neck
iaew; n.; mocking, scorn
ial; n.; (?) a call, (?) a cry
ialla; v.; to call
iant; n.; bridge
ianu; n.; (?) yoke
ianw; n. (pl); (?) yoke
iarwain; adj.; old-young (that is old, but yet still very vigorous)
iath; n. (pl); fence
iathrim; n.; class pl. of iâth, Elves of Doriath
iau; n.; ravine, cleft, gulf
iaun; n.; holy place, fane, sanctuary
iaur; adj.; 1. ancient, old, original ○ 2. older, former
iavas; n.; abst. of iau I, season of autumn
idher; n. (pl); thoughtfulness
idhor; n.; thoughtfulness
idhren; adj.; pondering, wise, thoughtful
idhrin; n. (pl); year
idhrind; n. (pl); year
idhrinn; n.; year
iell; n.; f. 1. daughter ○ 2. girl, maid
iest; n.; wish
ifant; adj. (pl); aged, having lived long, old (with no connotation of weakness)
ilaurui; adj.; daily
im; n.; dell, deep vale imloth, imrath, imrad, 
imlad; n.; deep valley, narrow valley with steep sides (but a flat habitable bottom)
imloth; n.; flower-valley, flowery vale
imp; adj.; num. card. twelve
imrad; n.; a path or pass (between mountains, hills or trackless forest)
imrath; n.; long narrow valley with a road or watercourse running through it lengthwise
in; pron. (pl); plural of rel. 1. the ○ 2. who
inc; n.; guess, idea, notion
ind; n.; inner thought, meaning, heart
ingem; adj.; old (of person, in mortal sense: decripit, suffering from old age)
inib; adj. (pl); num. card. twelve
inn; n. (pl); inner thought, meaning, heart
innas; n.; abst. of ind, will
inu; adj.; female
inw; adj. (pl); female
io; adv.; ago
ion; n.; m. 1. son ○ 2. by ext., scion, male descendant
iond; n. (pl); m. 1. son ○ 2. by ext., scion, male descendant
ionn; n. (pl); m. 1. son ○ 2. by ext., scion, male descendant
ionnath; n.; coll. of ion, all the sons
iphant; adj.; aged, having lived long, old (with no connotation of weakness)
ir; conj.; (?) when
ist; n.; lore, knowledge
ista; inf.; isto N. pa. t. istas N. (sint N.) v. to have knowledge
istas; inf. (pl); isto N. pa. t. istas N. (sint N.) v. to have knowledge
isto; inf. (pl); isto N. pa. t. istas N. (sint N.) v. to have knowledge
istui; adj.; learned
ithil; n.; the (full) Moon, lit. 'The Sheen'
ithildin; n.; a silver-colored substance, which mirrors only starlight and moonlight
ithron; n.; wizard
ithryn; n. (pl); plural of wizard
iuith; n.; use
iuitha; inf.; iuitho N. v. to employ, to use
iuitho; inf. (pl); iuitho N. v. to employ, to use
ivanneth; n.; september (month)
ivor; n.; (?) crystal (v)
ivren; adj.; (?) of crystal, crystalline
ivrin; adj. (pl); plural of (?) of crystal, crystalline
iâ; n.; 1. gulf ○ 2. abyss, void
iâr; n.; blood
iâth; n.; fence
iôl; n.; wash, flood-water 
iôn; n.; son
iôr; n. (pl); course
iûl; n.; embers
laba; v.; to hop 
lach; n.; (leaping) flame
lacha; v.; to flame
lachend; n. (pl); Deep Elf (Sindarin name for the Ñoldor)
lachenn; n.; Deep Elf (Sindarin name for the Ñoldor)
lacho; v.; imp. of lacha-, flame!
lad; n.; plain, valley
laden; adj.; open, cleared
lae; n.; great number
laeb; adj.; fresh
laeg; adj.; "viridis", fresh and green
laegel; n.; a Green Elf
laegeldrim; n. (pl); class pl. of laegel, the people of the Green Elves
laegil; n. (pl); plural of a Green Elf
laegrim; n.; class pl. of laegel, the people of the Green Elves
laer; n.; song, long lay Cú Beleg X/LH
laes; n.; babe
laew; adj.; frequent, many
lagor; adj.; swift, rapid
lain; n.; thread ndex
lalaith; n.; laughter
lalf; n.; elm-tree
lalorn; n.; elm-tree
lalven; n.; elm-tree
lalwen; n.; elm-tree
lam; n.; language
lamath; n.; coll. of lam I, echoing voices
lammas; n.; abst. of lam II, account of tongues
lammen; n.; my tongue
lanc; n.; sharp edge (not of tools), sudden end (as a cliff-edge, or the clean edge of things made by hand or built)
land; adj.; wide, broad X/LH, X/ND1
lang; n.; cutlass, sword
lant; n.; fall 
lanthir; n.; waterfall
lasbelin; n.; season of autumn
lass; n.; leaf
lasta; v.; to listen
lasto; v.; imp. of lasta-, listen!
lath; n.; (?) thong of leather
lathra; inf.; †lathro *S. (lhathro N.) v. to listen in, eavesdrop
lathrada; inf.; †lathrado *S. (lhathrado N.) v. to listen in, eavesdrop
lathrado; inf. (pl); †lathrado *S. (lhathrado N.) v. to listen in, eavesdrop
lathro; inf. (pl); †lathro *S. (lhathro N.) v. to listen in, eavesdrop
lathron; n.; hearer, listener, eavesdropper
laug; adj.; warm
lav; inf.; †levi *S. (lhefi N.) v. to lick
lavan; n.; animal (usually applied to four-footed beasts, and never to reptiles or birds)
laws; n.; hair ringlet
le; pron.; 2nd to thee (reverential)
lebdas; n.; index finger
lebed; n.; finger
leben; adj.; num. card. five
lebenedh; n.; middle finger
lebent; n.; ring finger
leber; n.; finger
lebethron; n.; a tree (its black wood was used by the woodwrights of Gondor)
lebid; n. (pl); plural of finger
lebig; n.; dim. little finger
lebir; n. (pl); plural of finger
lechind; n. (pl); plural of Deep Elf (Sindarin name for the Ñoldor)
lechinn; n. (pl); plural of Deep Elf (Sindarin name for the Ñoldor)
ledin; adj. (pl); plural of open, cleared
lefnar; n.; week (of five days)
lefnui; adj.; num. ord. fifth
legrin; adj. (pl); plural of swift, rapid
leithia; v.; to release
leithian; n.; release, freeing, release from bondage
lelf; n. (pl); plural of elm-tree
lelvin; n. (pl); plural of elm-tree
lelwin; n. (pl); plural of elm-tree
lembas; n.; journey bread made by the Elves
lend; adj.; tuneful, sweet
lest; n.; girdle
lethril; n.; f. hearer, listener, eavesdropper
leutha; v.; to pick up or out (with the fingers)
levain; n. (pl); plural of animal (usually applied to four-footed beasts, and never to reptiles or birds)
levi; inf. (pl); †levi *S. (lhefi N.) v. to lick
lhach; n. (pl); (leaping) flame
lhaden; adj. (pl); open, cleared
lhae; n. (pl); great number
lhaeb; adj. (pl); fresh
lhaes; n. (pl); babe
lhaew; adj.; sickly, sick, ill
lhaf; inf. (pl); †levi *S. (lhefi N.) v. to lick
lhagr; adj. (pl); swift, rapid
lhain; adj.; lean, thin, meagre
lhalorn; n. (pl); elm-tree
lhalwen; n. (pl); elm-tree
lhammas; n. (pl); abst. of lam II, account of tongues
lhang; n. (pl); cutlass, sword
lhasbelin; n. (pl); season of autumn
lhass; n. (pl); leaf
lhath; n. (pl); (?) thong of leather
lhathra; inf. (pl); †lathro *S. (lhathro N.) v. to listen in, eavesdrop
lhathrada; inf. (pl); †lathrado *S. (lhathrado N.) v. to listen in, eavesdrop
lhathrado; inf. (pl); †lathrado *S. (lhathrado N.) v. to listen in, eavesdrop
lhathro; inf. (pl); †lathro *S. (lhathro N.) v. to listen in, eavesdrop
lhathron; n. (pl); hearer, listener, eavesdropper
lhaug; adj. (pl); warm
lhaw; n.; pl. ears (referring to one person's pair of ears only)
lhaws; n. (pl); hair ringlet
lhebed; n. (pl); finger
lheben; adj. (pl); num. card. five
lhedin; adj. (pl); plural of open, cleared
lhefi; inf. (pl); †levi *S. (lhefi N.) v. to lick
lhefneg; adj. (pl); num. ord. fifth
lhegrin; adj. (pl); plural of swift, rapid
lheithian; n. (pl); release, freeing, release from bondage
lheitho; v. (pl); to release
lhethril; n. (pl); f. hearer, listener, eavesdropper
lhevnar; n. (pl); week (of five days)
lhewig; n.; sing. of lhaw, ear
lhimlug; n. (pl); fish-dragon, sea-serpent
lhimmid; pa. t. (pl); †limmint *S. (lhimmint N.) v. to moisten
lhimmint; pa. t. (pl); †limmint *S. (lhimmint N.) v. to moisten
lhimp; adj. (pl); wet
lhind; adj.; fine, slender
lhing; n.; spider, spider's web, cobweb
lhingril; n.; spider
lhinn; n. (pl); air, tune
lhoch; n. (pl); ringlet
lhoda; v. (pl); to float
